condition,with_per_sample_norm,without_per_sample_norm,validation_condition
1,0.005420325180779278,0.00517421347451321,8
2,0.0030747166575197217,0.01066947479472743,5
3,0.009652393304394758,0.00831837424255541,14
4,0.008169607553608186,0.010094767073731702,16
5,0.003323387461162118,0.004688700940820501,12
6,0.005939456088574812,0.005758793642136178,9
7,0.14781706581402898,0.18629818767945486,14
8,0.06981357902025631,0.026830697640941936,5
9,0.008927700101770167,0.011629456065145535,7
10,0.011190870714761481,0.008295492016244443,11
11,0.008219613716475501,0.004957914012316407,3
12,0.0096429585806853,0.011306041805517867,7
13,0.01234606525572316,0.006743842096030922,11
14,0.016817687995131742,0.02111192604565692,11
15,0.009781050070015326,0.010282540979106334,8
16,0.005233609084457659,0.0071292444033443855,5
