held_out_condition,pearson_r,spearman_rho,auroc_top20_error
1,0.48855025184679157,0.545404282269803,0.816111111111111
2,0.4774735768118115,0.5959161410518282,0.7939330543933054
3,0.48474889351534745,0.6228807434176562,0.8034170153417015
4,0.3694111879205736,0.5387950887746628,0.8220362622036262
5,0.48014994233298125,0.613711476734529,0.7978382147838216
6,0.4819404402078955,0.6195820520302575,0.8000697350069735
7,0.8615053719475951,0.6850930394379475,0.9562761506276152
8,0.5001322477761297,0.5575309196202106,0.8592050209205021
9,0.4591589368116087,0.5469619088235954,0.8219665271966526
10,0.48010199976802787,0.6213871742497362,0.7944909344490934
11,0.4837962647450041,0.6014998540997957,0.8013249651324965
12,0.47447963002173876,0.5844335705146909,0.7868898186889819
13,0.47728374701711246,0.5993355929159839,0.7921199442119944
14,0.4746489344246846,0.570162285919508,0.7893305439330544
15,0.4896740590851535,0.5595676864716841,0.8197350069735007
16,0.47901745577032756,0.6133424614486768,0.7967224546722455
