evaluation_index,source_index,condition_id,sample_id,measured_ra_um
0,1,1,2,0.11280000
1,2,1,3,0.10560000
2,3,1,4,0.11020000
3,4,1,5,0.10940000
4,5,1,6,0.10100000
5,6,1,7,0.10840000
6,7,1,8,0.10560000
7,8,1,9,0.10320000
8,9,1,10,0.10740000
9,10,1,11,0.10980000
10,11,1,12,0.10260000
11,12,1,13,0.10560000
12,13,1,14,0.09740000
13,14,1,15,0.09620000
14,15,1,16,0.09200000
15,16,1,17,0.09500000
16,17,1,18,0.09460000
17,18,1,19,0.10100000
18,19,1,20,0.09500000
19,20,2,1,0.09940000
20,21,2,2,0.09200000
21,22,2,3,0.09020000
22,23,2,4,0.08980000
23,24,2,5,0.08920000
24,25,2,6,0.09400000
25,26,2,7,0.09000000
26,27,2,8,0.08840000
27,28,2,9,0.08700000
28,29,2,10,0.09020000
29,30,2,11,0.08280000
30,31,2,12,0.08560000
31,32,2,13,0.08660000
32,33,2,14,0.08040000
33,34,2,15,0.08320000
34,35,2,16,0.08720000
35,36,2,17,0.08400000
36,37,2,18,0.08920000
37,38,2,19,0.09400000
38,39,2,20,0.09220000
39,40,3,1,0.10520000
40,41,3,2,0.10440000
41,42,3,3,0.09980000
42,43,3,4,0.10380000
43,44,3,5,0.09980000
44,45,3,6,0.10120000
45,46,3,7,0.09640000
46,47,3,8,0.09880000
47,48,3,9,0.09280000
48,49,3,10,0.09520000
49,50,3,11,0.09040000
50,51,3,12,0.08100000
51,52,3,13,0.08860000
52,53,3,14,0.08640000
53,54,3,15,0.07940000
54,55,3,16,0.07560000
55,56,3,17,0.07740000
56,57,3,18,0.08120000
57,58,3,19,0.07480000
58,59,3,20,0.08160000
59,60,4,1,0.11900000
60,61,4,2,0.11620000
61,62,4,3,0.10600000
62,63,4,4,0.11040000
63,64,4,5,0.10720000
64,65,4,6,0.09880000
65,66,4,7,0.09460000
66,67,4,8,0.09580000
67,68,4,9,0.09820000
68,69,4,10,0.09220000
69,70,4,11,0.09080000
70,71,4,12,0.08700000
71,72,4,13,0.08160000
72,73,4,14,0.09140000
73,74,4,15,0.08800000
74,75,4,16,0.08480000
75,76,4,17,0.09200000
76,77,4,18,0.09140000
77,78,4,19,0.08580000
78,79,4,20,0.08120000
79,80,5,1,0.10860000
80,81,5,2,0.10660000
81,82,5,3,0.10680000
82,83,5,4,0.10160000
83,84,5,5,0.09000000
84,85,5,6,0.09540000
85,86,5,7,0.09300000
86,87,5,8,0.09040000
87,88,5,9,0.09700000
88,89,5,10,0.09520000
89,90,5,11,0.09540000
90,91,5,12,0.10360000
91,92,5,13,0.09800000
92,93,5,14,0.09260000
93,94,5,15,0.09300000
94,95,5,16,0.09620000
95,96,5,17,0.09560000
96,97,5,18,0.09120000
97,98,5,19,0.09420000
98,99,5,20,0.09400000
99,100,6,1,0.10500000
100,101,6,2,0.08780000
101,102,6,3,0.09360000
102,103,6,4,0.09540000
103,104,6,5,0.10120000
104,105,6,6,0.09540000
105,106,6,7,0.09920000
106,107,6,8,0.09640000
107,108,6,9,0.09080000
108,109,6,10,0.09800000
109,110,6,11,0.08380000
110,111,6,12,0.08460000
111,112,6,13,0.08720000
112,113,6,14,0.08620000
113,114,6,15,0.08860000
