family,config,learner,fold,mae
dB,ae_spec+vib_spec,RandomForestModel,1,0.005174213474513206
dB,ae_spec+vib_spec,RandomForestModel,2,0.01066947479472743
dB,ae_spec+vib_spec,RandomForestModel,3,0.008318374242555406
dB,ae_spec+vib_spec,RandomForestModel,4,0.010094767073731692
dB,ae_spec+vib_spec,RandomForestModel,5,0.004688700940820505
dB,ae_spec+vib_spec,RandomForestModel,6,0.005758793642136181
dB,ae_spec+vib_spec,RandomForestModel,7,0.18629818767945486
dB,ae_spec+vib_spec,RandomForestModel,8,0.026830697640941963
dB,ae_spec+vib_spec,RandomForestModel,9,0.01162945606514553
dB,ae_spec+vib_spec,RandomForestModel,10,0.008295492016244455
dB,ae_spec+vib_spec,RandomForestModel,11,0.0049579140123163995
dB,ae_spec+vib_spec,RandomForestModel,12,0.01130604180551786
dB,ae_spec+vib_spec,RandomForestModel,13,0.006743842096030929
dB,ae_spec+vib_spec,RandomForestModel,14,0.021111926045656926
dB,ae_spec+vib_spec,RandomForestModel,15,0.010282540979106334
dB,ae_spec+vib_spec,RandomForestModel,16,0.007129244403344387
dB,ae_spec+vib_spec,RidgeRegressionModel,1,0.013092937879264355
dB,ae_spec+vib_spec,RidgeRegressionModel,2,0.005392220802605152
dB,ae_spec+vib_spec,RidgeRegressionModel,3,0.012350387871265411
dB,ae_spec+vib_spec,RidgeRegressionModel,4,0.022724870592355728
dB,ae_spec+vib_spec,RidgeRegressionModel,5,0.005770844407379627
dB,ae_spec+vib_spec,RidgeRegressionModel,6,0.01171177253127098
dB,ae_spec+vib_spec,RidgeRegressionModel,7,0.1297174096107483
dB,ae_spec+vib_spec,RidgeRegressionModel,8,0.06733173877000809
dB,ae_spec+vib_spec,RidgeRegressionModel,9,0.01360330730676651
dB,ae_spec+vib_spec,RidgeRegressionModel,10,0.01007117796689272
dB,ae_spec+vib_spec,RidgeRegressionModel,11,0.01641438901424408
dB,ae_spec+vib_spec,RidgeRegressionModel,12,0.017249515280127525
dB,ae_spec+vib_spec,RidgeRegressionModel,13,0.018864648416638374
dB,ae_spec+vib_spec,RidgeRegressionModel,14,0.030441978946328163
dB,ae_spec+vib_spec,RidgeRegressionModel,15,0.008593925274908543
dB,ae_spec+vib_spec,RidgeRegressionModel,16,0.014006400480866432
dB,ae_spec+vib_spec,LightGBMModel,1,0.0048899523975288635
dB,ae_spec+vib_spec,LightGBMModel,2,0.0076552664091884106
dB,ae_spec+vib_spec,LightGBMModel,3,0.009143977797107258
dB,ae_spec+vib_spec,LightGBMModel,4,0.01014460910045728
dB,ae_spec+vib_spec,LightGBMModel,5,0.003883047667986381
dB,ae_spec+vib_spec,LightGBMModel,6,0.006062033276260239
dB,ae_spec+vib_spec,LightGBMModel,7,0.2565710153014785
dB,ae_spec+vib_spec,LightGBMModel,8,0.10291470137431744
dB,ae_spec+vib_spec,LightGBMModel,9,0.010105119685919067
dB,ae_spec+vib_spec,LightGBMModel,10,0.007594708313483203
dB,ae_spec+vib_spec,LightGBMModel,11,0.004789455303564844
dB,ae_spec+vib_spec,LightGBMModel,12,0.010440380046948495
