model,config,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,n_folds,n_params,n_folds_completed,folds
RandomForestModel,ae_logspec+vib_logspec,0.02000849761308866,0.03563189078406972,0.001642094558722191,0.005236286534732355,-10.815097458284336,30.230085653927937,16,,16,"[{'mae': 0.00519966836093163, 'mse': 3.495651965304446e-05, 'r2': 0.06231415637925608, 'fold': 0, 'repeat': 0}, {'mae': 0.003125886028485276, 'mse': 1.7464867838694686e-05, 'r2': 0.07324060000623134, 'fold': 1, 'repeat': 0}, {'mae': 0.009542497677564644, 'mse': 0.00014478649172813165, 'r2': -0.4168931384502439, 'fold': 2, 'repeat': 0}, {'mae': 0.007836750167307845, 'mse': 0.00010202462108112273, 'r2': 0.10595375388092398, 'fold': 3, 'repeat': 0}, {'mae': 0.003480127163147481, 'mse': 1.6640511675063346e-05, 'r2': 0.4394414466880395, 'fold': 4, 'repeat': 0}, {'mae': 0.005991989490553955, 'mse': 4.9331963543247976e-05, 'r2': 0.053889923432568376, 'fold': 5, 'repeat': 0}, {'mae': 0.14367146393783442, 'mse': 0.02096185731245998, 'r2': -120.22199979590746, 'fold': 6, 'repeat': 0}, {'mae': 0.060941963422654254, 'mse': 0.0038473220450470163, 'r2': -31.077995063015685, 'fold': 7, 'repeat': 0}, {'mae': 0.00832793824254798, 'mse': 8.494911466209545e-05, 'r2': -0.16303176448257495, 'fold': 8, 'repeat': 0}, {'mae': 0.011126751618610185, 'mse': 0.0001477479688464217, 'r2': -1.4479248466057202, 'fold': 9, 'repeat': 0}, {'mae': 0.008009663526231437, 'mse': 9.16443526394446e-05, 'r2': -2.3770241052746126, 'fold': 10, 'repeat': 0}, {'mae': 0.010530951967291587, 'mse': 0.0001269713369929358, 'r2': -1.0878633602279173, 'fold': 11, 'repeat': 0}, {'mae': 0.012351853941655812, 'mse': 0.00020400121489566017, 'r2': -2.56157255994762, 'fold': 12, 'repeat': 0}, {'mae': 0.014170801330427526, 'mse': 0.00026958853862918744, 'r2': -11.63325103741812, 'fold': 13, 'repeat': 0}, {'mae': 0.010189006497159061, 'mse': 0.0001320913432018467, 'r2': -2.980524863053101, 'fold': 14, 'repeat': 0}, {'mae': 0.005638648437015471, 'mse': 4.2134736661165526e-05, 'r2': 0.19168132144666994, 'fold': 15, 'repeat': 0}]"
RandomForestModel,ae_mel+vib_mel,0.020115526365432804,0.04830335852431398,0.0027834617202646132,0.010739887656357618,-16.277375807889584,61.79722649480708,16,,16,"[{'mae': 0.005068255243382563, 'mse': 3.4670671710474466e-05, 'r2': 0.06998184102968319, 'fold': 0, 'repeat': 0}, {'mae': 0.004917259052593296, 'mse': 3.523654874049797e-05, 'r2': -0.8697995925422222, 'fold': 1, 'repeat': 0}, {'mae': 0.010039281405657912, 'mse': 0.0001206516203564449, 'r2': -0.18070719847917482, 'fold': 2, 'repeat': 0}, {'mae': 0.011512005393195458, 'mse': 0.00021244652762202805, 'r2': -0.8616782744087073, 'fold': 3, 'repeat': 0}, {'mae': 0.004762541098984844, 'mse': 3.5878858444056424e-05, 'r2': -0.20862875953652593, 'fold': 4, 'repeat': 0}, {'mae': 0.008178497410218952, 'mse': 9.214329713936695e-05, 'r2': -0.7671646464117687, 'fold': 5, 'repeat': 0}, {'mae': 0.20104117717321374, 'mse': 0.04305753047683135, 'r2': -248.00083388947527, 'fold': 6, 'repeat': 0}, {'mae': 0.010450366815159836, 'mse': 0.00016064776239843102, 'r2': -0.3394402830757599, 'fold': 7, 'repeat': 0}, {'mae': 0.010830551107269123, 'mse': 0.0001480406314676745, 'r2': -1.0268128457351602, 'fold': 8, 'repeat': 0}, {'mae': 0.008702214022546844, 'mse': 9.54049097562309e-05, 'r2': -0.5806921130889731, 'fold': 9, 'repeat': 0}, {'mae': 0.005805902174867381, 'mse': 5.387297904517707e-05, 'r2': -0.9851779582565625, 'fold': 10, 'repeat': 0}, {'mae': 0.010623451769082881, 'mse': 0.00017174894369972974, 'r2': -1.82416752631709, 'fold': 11, 'repeat': 0}, {'mae': 0.006329458594826244, 'mse': 5.7031289523879795e-05, 'r2': 0.004314381507148912, 'fold': 12, 'repeat': 0}, {'mae': 0.006138830975935495, 'mse': 5.473483292682409e-05, 'r2': -1.5649417010521378, 'fold': 13, 'repeat': 0}, {'mae': 0.010005344185747564, 'mse': 0.00012445426656776853, 'r2': -2.750384320258129, 'fold': 14, 'repeat': 0}, {'mae': 0.007443285424242743, 'mse': 8.089390800388027e-05, 'r2': -0.55188004013272, 'fold': 15, 'repeat': 0}]"
RandomForestModel,ae_logspec+vib_logspec+pp,0.020480667873031416,0.03694415741104316,0.001744646602983595,0.005483918462869391,-11.420081800627841,31.828231654994074,16,,16,"[{'mae': 0.005356083904119431, 'mse': 3.611136334709423e-05, 'r2': 0.03133622739052622, 'fold': 0, 'repeat': 0}, {'mae': 0.0032222836177157967, 'mse': 1.777273436410805e-05, 'r2': 0.05690390630746134, 'fold': 1, 'repeat': 0}, {'mae': 0.009703939244013558, 'mse': 0.00014582606691554238, 'r2': -0.4270665112032159, 'fold': 2, 'repeat': 0}, {'mae': 0.008509598880451455, 'mse': 0.00011106938756789159, 'r2': 0.026694066965845198, 'fold': 3, 'repeat': 0}, {'mae': 0.0033581462179395763, 'mse': 1.724204902684589e-05, 'r2': 0.4191778325478783, 'fold': 4, 'repeat': 0}, {'mae': 0.005975981286069824, 'mse': 4.913108220800265e-05, 'r2': 0.05774251396047847, 'fold': 5, 'repeat': 0}, {'mae': 0.14720088958066943, 'mse': 0.021861380508069846, 'r2': -125.42392436820276, 'fold': 6, 'repeat': 0}, {'mae': 0.0669167524386555, 'mse': 0.004656946876156958, 'r2': -37.8284414855278, 'fold': 7, 'repeat': 0}, {'mae': 0.008566936593464405, 'mse': 8.779036810105915e-05, 'r2': -0.201931145760466, 'fold': 8, 'repeat': 0}, {'mae': 0.00989477333146456, 'mse': 0.00011635813911596687, 'r2': -0.9278503932792215, 'fold': 9, 'repeat': 0}, {'mae': 0.008536655809296776, 'mse': 0.00010093541139932869, 'r2': -2.7193924945096173, 'fold': 10, 'repeat': 0}, {'mae': 0.00996444314741081, 'mse': 0.00011530902437029299, 'r2': -0.8960931875495419, 'fold': 11, 'repeat': 0}, {'mae': 0.012367055927726401, 'mse': 0.0002019909070919025, 'r2': -2.5264754301850645, 'fold': 12, 'repeat': 0}, {'mae': 0.012745947135376069, 'mse': 0.00023121038343264154, 'r2': -9.834803405273625, 'fold': 13, 'repeat': 0}, {'mae': 0.00978182486485359, 'mse': 0.00012388443374456188, 'r2': -2.733212614182797, 'fold': 14, 'repeat': 0}, {'mae': 0.005589373989275451, 'mse': 4.138691282547584e-05, 'r2': 0.20602767845647896, 'fold': 15, 'repeat': 0}]"
RandomForestModel,ae_mel+vib_mel+pp,0.02053502415854044,0.04970262156504598,0.002904141813513914,0.011208784543150309,-17.0081806894232,64.50117469062386,16,,16,"[{'mae': 0.005145327464246163, 'mse': 3.559134465888221e-05, 'r2': 0.045285389583856084, 'fold': 0, 'repeat': 0}, {'mae': 0.00475862784563279, 'mse': 3.3714800819566804e-05, 'r2': -0.7890492425728213, 'fold': 1, 'repeat': 0}, {'mae': 0.00946499847787495, 'mse': 0.0001094500150686332, 'r2': -0.07108731970118387, 'fold': 2, 'repeat': 0}, {'mae': 0.011395403576827667, 'mse': 0.000210419181613615, 'r2': -0.8439125520840443, 'fold': 3, 'repeat': 0}, {'mae': 0.004628070755230746, 'mse': 3.302068733927956e-05, 'r2': -0.11234732956026483, 'fold': 4, 'repeat': 0}, {'mae': 0.011437099491010058, 'mse': 0.000184267241752336, 'r2': -2.5339581415674957, 'fold': 5, 'repeat': 0}, {'mae': 0.20667684578366793, 'mse': 0.044936517850160666, 'r2': -258.86698012790265, 'fold': 6, 'repeat': 0}, {'mae': 0.010307618500500229, 'mse': 0.0001474219339447728, 'r2': -0.22916668110710625, 'fold': 7, 'repeat': 0}, {'mae': 0.010854714886629636, 'mse': 0.0001522823423605089, 'r2': -1.084885781795074, 'fold': 8, 'repeat': 0}, {'mae': 0.008658327254995499, 'mse': 9.484486874951512e-05, 'r2': -0.5714132153405871, 'fold': 9, 'repeat': 0}, {'mae': 0.005481718580235296, 'mse': 4.957327554061917e-05, 'r2': -0.826737181905046, 'fold': 10, 'repeat': 0}, {'mae': 0.010682246019679334, 'mse': 0.00017235510252921538, 'r2': -1.834134947630706, 'fold': 11, 'repeat': 0}, {'mae': 0.006373921525014601, 'mse': 5.815915143940006e-05, 'r2': -0.015376491666236225, 'fold': 12, 'repeat': 0}, {'mae': 0.005363342340300196, 'mse': 4.617682008982139e-05, 'r2': -1.1639026765407423, 'fold': 13, 'repeat': 0}, {'mae': 0.00996171821819017, 'mse': 0.0001231841199040273, 'r2': -2.712108909832328, 'fold': 14, 'repeat': 0}, {'mae': 0.007370405816611777, 'mse': 7.929028025177e-05, 'r2': -0.5211158211487212, 'fold': 15, 'repeat': 0}]"
RandomForestModel,ae_spec+vib_spec+pp,0.020988151126907002,0.04248631435266171,0.002270619163938989,0.00827006683260594,-14.613701275868916,47.249804855173906,16,,16,"[{'mae': 0.005400276167403804, 'mse': 3.6543316204329605e-05, 'r2': 0.01974937368308427, 'fold': 0, 'repeat': 0}, {'mae': 0.009811369968860128, 'mse': 0.00017592034145398058, 'r2': -8.335071591561675, 'fold': 1, 'repeat': 0}, {'mae': 0.008423504940716526, 'mse': 9.601942062311245e-05, 'r2': 0.06034563987973318, 'fold': 2, 'repeat': 0}, {'mae': 0.010418671166312416, 'mse': 0.00018235186287905085, 'r2': -0.5979572519185354, 'fold': 3, 'repeat': 0}, {'mae': 0.003318567131891788, 'mse': 1.976415689665085e-05, 'r2': 0.33421715547247244, 'fold': 4, 'repeat': 0}, {'mae': 0.006102722626068124, 'mse': 5.131721390872941e-05, 'r2': 0.01581574945038078, 'fold': 5, 'repeat': 0}, {'mae': 0.1785338026143259, 'mse': 0.03326966471661981, 'r2': -191.39782345617792, 'fold': 6, 'repeat': 0}, {'mae': 0.02972606039553836, 'mse': 0.000992086087800243, 'r2': -7.271765757388502, 'fold': 7, 'repeat': 0}, {'mae': 0.02017740091729997, 'mse': 0.0005705650954313159, 'r2': -6.81156287554107, 'fold': 8, 'repeat': 0}, {'mae': 0.008050610180438558, 'mse': 8.62690504717051e-05, 'r2': -0.42932701264237405, 'fold': 9, 'repeat': 0}, {'mae': 0.00940870548687828, 'mse': 0.00017280047473147174, 'r2': -5.3675649591517836, 'fold': 10, 'repeat': 0}, {'mae': 0.011388866969669249, 'mse': 0.00019312657794735507, 'r2': -2.1756918438556045, 'fold': 11, 'repeat': 0}, {'mae': 0.006095815593133345, 'mse': 5.317528762104997e-05, 'r2': 0.07163471866910498, 'fold': 12, 'repeat': 0}, {'mae': 0.009388222313987662, 'mse': 0.00017757267051343186, 'r2': -7.321274099365745, 'fold': 13, 'repeat': 0}, {'mae': 0.011560777020549824, 'mse': 0.0001611369402817242, 'r2': -3.8558034281442506, 'fold': 14, 'repeat': 0}, {'mae': 0.008005044537438095, 'mse': 9.159340963985578e-05, 'r2': -0.7571407753099761, 'fold': 15, 'repeat': 0}]"
RandomForestModel,ae_spec+vib_spec,0.02100836459397634,0.04246840348044622,0.0022841108692591224,0.00829848816453003,-14.639430437672228,47.426228897228434,16,,16,"[{'mae': 0.005490520606785156, 'mse': 3.6896088128908685e-05, 'r2': 0.010286496858164518, 'fold': 0, 'repeat': 0}, {'mae': 0.009129816821201736, 'mse': 0.00015143420640220526, 'r2': -7.035734506266367, 'fold': 1, 'repeat': 0}, {'mae': 0.00838466162837921, 'mse': 9.665695101750557e-05, 'r2': 0.05410671226578656, 'fold': 2, 'repeat': 0}, {'mae': 0.010572022877765038, 'mse': 0.00018921393450423103, 'r2': -0.6580898820080567, 'fold': 3, 'repeat': 0}, {'mae': 0.0032169181259415125, 'mse': 1.8976341241697045e-05, 'r2': 0.36075581079995267, 'fold': 4, 'repeat': 0}, {'mae': 0.006163041695093615, 'mse': 5.24295695917441e-05, 'r2': -0.005517500366718053, 'fold': 5, 'repeat': 0}, {'mae': 0.17809837017259111, 'mse': 0.03338341179754642, 'r2': -192.05562061106903, 'fold': 6, 'repeat': 0}, {'mae': 0.034276312825339314, 'mse': 0.0012757761504210616, 'r2': -9.637102570952186, 'fold': 7, 'repeat': 0}, {'mae': 0.01576282915875678, 'mse': 0.00037674504373089634, 'r2': -4.157987442129885, 'fold': 8, 'repeat': 0}, {'mae': 0.008265271534802512, 'mse': 8.883144422147563e-05, 'r2': -0.47178138745636655, 'fold': 9, 'repeat': 0}, {'mae': 0.00920842923224453, 'mse': 0.00017551409415721364, 'r2': -5.467559753695485, 'fold': 10, 'repeat': 0}, {'mae': 0.011405689172626948, 'mse': 0.00019347431547853868, 'r2': -2.1814098928849996, 'fold': 11, 'repeat': 0}, {'mae': 0.006100172005531736, 'mse': 5.2930285015349974e-05, 'r2': 0.07591211749745552, 'fold': 12, 'repeat': 0}, {'mae': 0.010584899539099992, 'mse': 0.00020219822711003052, 'r2': -8.475258018722533, 'fold': 13, 'repeat': 0}, {'mae': 0.01157471673464534, 'mse': 0.00016119733474681433, 'r2': -3.857623393511055, 'fold': 14, 'repeat': 0}, {'mae': 0.007900161372816902, 'mse': 9.00881248318641e-05, 'r2': -0.7282631811143139, 'fold': 15, 'repeat': 0}]"
RandomForestModel,vib_mel,0.021127695959200332,0.05024554647109331,0.0029964070527703775,0.011472211886078606,-17.507481986826935,66.0358992531404,16,,16,"[{'mae': 0.005608194405225042, 'mse': 4.8386686568809e-05, 'r2': -0.29794131296862814, 'fold': 0, 'repeat': 0}, {'mae': 0.004884431542953987, 'mse': 3.607650284552188e-05, 'r2': -0.914371092858393, 'fold': 1, 'repeat': 0}, {'mae': 0.009258870267094103, 'mse': 0.00010624481802781269, 'r2': -0.03972098406921698, 'fold': 2, 'repeat': 0}, {'mae': 0.010009917873293656, 'mse': 0.00017760466673056848, 'r2': -0.5563575135205681, 'fold': 3, 'repeat': 0}, {'mae': 0.004549542303460665, 'mse': 3.031909479312011e-05, 'r2': -0.021340463973137158, 'fold': 4, 'repeat': 0}, {'mae': 0.006880125995574781, 'mse': 7.294297073571564e-05, 'r2': -0.3989323487463228, 'fold': 5, 'repeat': 0}, {'mae': 0.20865541075757696, 'mse': 0.046012612325102537, 'r2': -265.0900128619458, 'fold': 6, 'repeat': 0}, {'mae': 0.024947332105746806, 'mse': 0.0007314458745520903, 'r2': -5.0986101184202814, 'fold': 7, 'repeat': 0}, {'mae': 0.009733536797499649, 'mse': 0.00011946109357430931, 'r2': -0.6355326008917321, 'fold': 8, 'repeat': 0}, {'mae': 0.008217988833006984, 'mse': 8.278171218814707e-05, 'r2': -0.3715478574231281, 'fold': 9, 'repeat': 0}, {'mae': 0.00445222806963534, 'mse': 3.226323229379343e-05, 'r2': -0.18887536473600486, 'fold': 10, 'repeat': 0}, {'mae': 0.010634225056926072, 'mse': 0.0001645613578390289, 'r2': -1.705977881926053, 'fold': 11, 'repeat': 0}, {'mae': 0.007003964159652848, 'mse': 6.838932909515027e-05, 'r2': -0.19398091831509112, 'fold': 12, 'repeat': 0}, {'mae': 0.0048199575096169595, 'mse': 3.889091676263241e-05, 'r2': -0.8224762708234594, 'fold': 13, 'repeat': 0}, {'mae': 0.010933772727173292, 'mse': 0.00014184855753934957, 'r2': -3.2745549888973002, 'fold': 14, 'repeat': 0}, {'mae': 0.007453636942768146, 'mse': 7.868370567745694e-05, 'r2': -0.5094792097158396, 'fold': 15, 'repeat': 0}]"
RandomForestModel,vib_spec,0.022086747245990093,0.04420119643606041,0.0024587717819624733,0.008793937235689364,-15.926800230058676,50.277564773989845,16,,16,"[{'mae': 0.006033839199031847, 'mse': 5.323567160737291e-05, 'r2': -0.42801217447655215, 'fold': 0, 'repeat': 0}, {'mae': 0.007676202725219267, 'mse': 8.968946312550396e-05, 'r2': -3.759299307660397, 'fold': 1, 'repeat': 0}, {'mae': 0.008284728634799414, 'mse': 9.805622239115841e-05, 'r2': 0.040413321504710886, 'fold': 2, 'repeat': 0}, {'mae': 0.009868766875679766, 'mse': 0.00017407039186430602, 'r2': -0.5253863636609144, 'fold': 3, 'repeat': 0}, {'mae': 0.0034321887736778875, 'mse': 2.031661821825432e-05, 'r2': 0.31560673499706493, 'fold': 4, 'repeat': 0}, {'mae': 0.005453246551258109, 'mse': 5.086051125288816e-05, 'r2': 0.024574595202657368, 'fold': 5, 'repeat': 0}, {'mae': 0.18436312978357344, 'mse': 0.0353904986159098, 'r2': -203.66256461335698, 'fold': 6, 'repeat': 0}, {'mae': 0.04279792876144992, 'mse': 0.0019467111333403195, 'r2': -15.231190710471601, 'fold': 7, 'repeat': 0}, {'mae': 0.015917010625910142, 'mse': 0.0003956060705795592, 'r2': -4.416212311308435, 'fold': 8, 'repeat': 0}, {'mae': 0.007896581746144226, 'mse': 7.608744489110103e-05, 'r2': -0.2606356475600511, 'fold': 9, 'repeat': 0}, {'mae': 0.013827223194347735, 'mse': 0.0003588337755619476, 'r2': -12.222749410723985, 'fold': 10, 'repeat': 0}, {'mae': 0.010839765759508856, 'mse': 0.00016533749448128336, 'r2': -1.7187398973685566, 'fold': 11, 'repeat': 0}, {'mae': 0.006621280527493162, 'mse': 6.338476980565901e-05, 'r2': -0.10660839433674418, 'fold': 12, 'repeat': 0}, {'mae': 0.009835402053642162, 'mse': 0.00018382661232835802, 'r2': -7.614341517302387, 'fold': 13, 'repeat': 0}, {'mae': 0.012630044780448222, 'mse': 0.00018358923803140286, 'r2': -4.532395302062129, 'fold': 14, 'repeat': 0}, {'mae': 0.007910615943657356, 'mse': 9.024447801065844e-05, 'r2': -0.7312626823545132, 'fold': 15, 'repeat': 0}]"
RandomForestModel,vib_logspec,0.022275309286214486,0.03833386849056642,0.001928047695844312,0.005403185795245558,-13.59186435188923,32.90917844004095,16,,16,"[{'mae': 0.005476653567048634, 'mse': 4.392131862716815e-05, 'r2': -0.17816072991879772, 'fold': 0, 'repeat': 0}, {'mae': 0.0044847279943444045, 'mse': 3.057491540788159e-05, 'r2': -0.622433706339822, 'fold': 1, 'repeat': 0}, {'mae': 0.009123905024102116, 'mse': 0.00013806033068027073, 'r2': -0.35107034432715256, 'fold': 2, 'repeat': 0}, {'mae': 0.00820315203879696, 'mse': 0.0001047629560110332, 'r2': 0.08195760433623145, 'fold': 3, 'repeat': 0}, {'mae': 0.006676865537797211, 'mse': 7.071127400972324e-05, 'r2': -1.382006649539231, 'fold': 4, 'repeat': 0}, {'mae': 0.005444672372673814, 'mse': 4.316098300266522e-05, 'r2': 0.17223970017779133, 'fold': 5, 'repeat': 0}, {'mae': 0.14213391565791914, 'mse': 0.020508081080252698, 'r2': -117.59782095964941, 'fold': 6, 'repeat': 0}, {'mae': 0.09259932942342827, 'mse': 0.008749895079153894, 'r2': -71.95440513287569, 'fold': 7, 'repeat': 0}, {'mae': 0.00870518068613357, 'mse': 9.832949150853874e-05, 'r2': -0.34622146993225944, 'fold': 8, 'repeat': 0}, {'mae': 0.010381570597424184, 'mse': 0.0001338964969706815, 'r2': -1.2184302387852215, 'fold': 9, 'repeat': 0}, {'mae': 0.012069489760494486, 'mse': 0.0001717367244664482, 'r2': -5.3283665777620435, 'fold': 10, 'repeat': 0}, {'mae': 0.008565343846456817, 'mse': 0.00011102470580142613, 'r2': -0.8256436516516967, 'fold': 11, 'repeat': 0}, {'mae': 0.008943928935793013, 'mse': 0.00010242959815154784, 'r2': -0.7882758506590397, 'fold': 12, 'repeat': 0}, {'mae': 0.013515575149658756, 'mse': 0.0002461836250584399, 'r2': -10.536467954013268, 'fold': 13, 'repeat': 0}, {'mae': 0.015647563934489482, 'mse': 0.0002663187188315255, 'r2': -7.025418290927901, 'fold': 14, 'repeat': 0}, {'mae': 0.0044330740528709415, 'mse': 2.9675835575049405e-05, 'r2': 0.43069462163985683, 'fold': 15, 'repeat': 0}]"
RidgeRegressionModel,ae_spec,0.024617718908274057,0.03622526476346242,0.0019232918978715615,0.006203582458203178,-15.548129046619065,35.475362400473344,16,,16,"[{'mae': 0.006810371813021194, 'mse': 6.993855349629863e-05, 'r2': -0.8760560887553843, 'fold': 0, 'repeat': 0}, {'mae': 0.004028446599841099, 'mse': 2.4241005492894724e-05, 'r2': -0.2863297857924032, 'fold': 1, 'repeat': 0}, {'mae': 0.011800011992454515, 'mse': 0.0001747718848385867, 'r2': -0.7103327904843157, 'fold': 2, 'repeat': 0}, {'mae': 0.02645275741815568, 'mse': 0.0008562688986097333, 'r2': -6.503522055346244, 'fold': 3, 'repeat': 0}, {'mae': 0.01962983310222626, 'mse': 0.00042524702549260365, 'r2': -13.325031709665915, 'fold': 4, 'repeat': 0}, {'mae': 0.012759114056825638, 'mse': 0.00021359626594453767, 'r2': -3.0964430566430057, 'fold': 5, 'repeat': 0}, {'mae': 0.15821488723158839, 'mse': 0.025166840831577646, 'r2': -144.53933502522813, 'fold': 6, 'repeat': 0}, {'mae': 0.01861037313938141, 'mse': 0.0004887957786049444, 'r2': -3.0754551839760786, 'fold': 7, 'repeat': 0}, {'mae': 0.016659634187817584, 'mse': 0.00036216025757019097, 'r2': -3.9583081008290417, 'fold': 8, 'repeat': 0}, {'mae': 0.0244358140975237, 'mse': 0.000689348423167544, 'r2': -10.421294967475108, 'fold': 9, 'repeat': 0}, {'mae': 0.007435208559036255, 'mse': 8.479797135457206e-05, 'r2': -2.124740205972297, 'fold': 10, 'repeat': 0}, {'mae': 0.02270749136805536, 'mse': 0.0005533388309163563, 'r2': -8.098871432108236, 'fold': 11, 'repeat': 0}, {'mae': 0.013485444337129596, 'mse': 0.00022369046295417925, 'r2': -2.9053189716887946, 'fold': 12, 'repeat': 0}, {'mae': 0.021752001345157625, 'mse': 0.0007996218644715338, 'r2': -36.47126565633427, 'fold': 13, 'repeat': 0}, {'mae': 0.01077599376440049, 'mse': 0.00019174232477561816, 'r2': -4.778085622936419, 'fold': 14, 'repeat': 0}, {'mae': 0.01832611951977014, 'mse': 0.0004482699866777444, 'r2': -7.59967409266941, 'fold': 15, 'repeat': 0}]"
