condition,deterministic_mae,stochastic_mean_mae,mean_abs_prediction_shift,coverage
1,0.03891389789473684,0.04340555947368421,0.004755637368421052,0.0
2,0.00725322165,0.007398357099999998,0.0009247866500000007,0.8
3,0.0086899952,0.0085095212,0.0010803350999999996,0.95
4,0.1312278065,0.13303588100000002,0.005884270500000002,0.15
5,0.006367025400000001,0.00807417325,0.0018807262499999998,0.8
6,0.007619493749999998,0.007679145399999999,0.0008338588500000008,0.85
7,0.24888039504999995,0.24721753675000008,0.0021684491000000016,0.0
8,0.08452017144999999,0.0876733105,0.003439222050000005,0.1
9,0.07867694750000001,0.0823388094,0.004135158900000002,0.2
10,0.01547849305,0.016084297000000004,0.0007857233499999998,0.2
11,0.015362990550000006,0.013405529549999998,0.002230830100000002,0.7
12,0.008430970000000001,0.008427860700000001,0.0003603502999999994,0.55
13,0.0092905872,0.0095503633,0.0007674141000000023,0.7
14,0.004049591949999999,0.004848936050000001,0.001629927000000002,0.85
15,0.0342885991,0.037912859300000004,0.004283800699999998,0.4
16,0.008994104700000002,0.00774206805,0.0020264082500000002,0.75
