model,config,fold,test_condition,best_hparams,inner_val_mae,outer_test_mae
RandomForestModel,ae_logspec+vib_logspec,0,1,"{""n_estimators"": 100, ""max_depth"": 10, ""random_state"": 42, ""n_jobs"": 2}",0.0281690081165289,0.0052420732937749
RandomForestModel,ae_logspec+vib_logspec,1,2,"{""n_estimators"": 100, ""max_depth"": 10, ""random_state"": 42, ""n_jobs"": 2}",0.0254243132655529,0.0034781577776947
RandomForestModel,ae_logspec+vib_logspec,2,3,"{""n_estimators"": 100, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0211011636453075,0.0097311990782618
RandomForestModel,ae_logspec+vib_logspec,3,4,"{""n_estimators"": 200, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0203217143764729,0.0079664001464843
RandomForestModel,ae_logspec+vib_logspec,4,5,"{""n_estimators"": 200, ""max_depth"": 8, ""random_state"": 42, ""n_jobs"": 2}",0.0226071428549103,0.0033233874611621
RandomForestModel,ae_logspec+vib_logspec,5,6,"{""n_estimators"": 200, ""max_depth"": 8, ""random_state"": 42, ""n_jobs"": 2}",0.0188654929624244,0.0059394560885748
RandomForestModel,ae_logspec+vib_logspec,6,7,"{""n_estimators"": 100, ""max_depth"": 10, ""random_state"": 42, ""n_jobs"": 2}",0.0169540300167461,0.1401918965857475
RandomForestModel,ae_logspec+vib_logspec,7,8,"{""n_estimators"": 100, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0283228452170467,0.0726629963852465
RandomForestModel,ae_logspec+vib_logspec,8,9,"{""n_estimators"": 200, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0169861242691802,0.0089772498775273
RandomForestModel,ae_logspec+vib_logspec,9,10,"{""n_estimators"": 100, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0202352130674962,0.0106766997687518
RandomForestModel,ae_logspec+vib_logspec,10,11,"{""n_estimators"": 100, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0214673165881048,0.0085556004941463
RandomForestModel,ae_logspec+vib_logspec,11,12,"{""n_estimators"": 200, ""max_depth"": 8, ""random_state"": 42, ""n_jobs"": 2}",0.0166249579905685,0.0096429585806852
RandomForestModel,ae_logspec+vib_logspec,12,13,"{""n_estimators"": 100, ""max_depth"": null, ""random_state"": 42, ""n_jobs"": 2}",0.0214629073637858,0.0125849005393683
RandomForestModel,ae_logspec+vib_logspec,13,14,"{""n_estimators"": 100, ""max_depth"": 10, ""random_state"": 42, ""n_jobs"": 2}",0.0209871851546802,0.0169540717894388
RandomForestModel,ae_logspec+vib_logspec,14,15,"{""n_estimators"": 200, ""max_depth"": 8, ""random_state"": 42, ""n_jobs"": 2}",0.0276342849429971,0.0097810500700153
RandomForestModel,ae_logspec+vib_logspec,15,16,"{""n_estimators"": 200, ""max_depth"": 8, ""random_state"": 42, ""n_jobs"": 2}",0.0225716405674696,0.0052336090844576
