position,condition,mae
early,1,0.0052176525391129
early,2,0.0036316547462911
early,3,0.0100368177099007
early,4,0.0096125992969671
early,5,0.0042050663689116
early,6,0.0054374957525461
early,7,0.1396759605647403
early,8,0.0790163997653413
early,9,0.0139535865498918
early,10,0.0112126496536656
early,11,0.0079518644240701
early,12,0.008847224630326
early,13,0.0096260294807733
early,14,0.0163951690527132
early,15,0.0104879080805089
early,16,0.0047192966114971
early_middle_late_concat,1,0.005543709021776243
early_middle_late_concat,2,0.0032555106007746957
early_middle_late_concat,3,0.009179548312763481
early_middle_late_concat,4,0.007734316615396539
early_middle_late_concat,5,0.0031773862313661644
early_middle_late_concat,6,0.006270189097176471
early_middle_late_concat,7,0.14165853499831074
early_middle_late_concat,8,0.05693548553248788
early_middle_late_concat,9,0.01107926655930617
early_middle_late_concat,10,0.008814093579398228
early_middle_late_concat,11,0.008362916444387624
early_middle_late_concat,12,0.01011986656601528
early_middle_late_concat,13,0.011020287116583594
early_middle_late_concat,14,0.015208471727564362
early_middle_late_concat,15,0.007810064146342428
early_middle_late_concat,16,0.006488829768413887
late,1,0.0059649023350528
late,2,0.0035581307453055
late,3,0.009150048058683
late,4,0.0083002473869238
late,5,0.003224992165726
late,6,0.0066815059516963
late,7,0.1383774458290007
late,8,0.0633643736939758
late,9,0.0087802591411623
late,10,0.0110897713067742
late,11,0.007107953365805
late,12,0.0099269343350492
late,13,0.012015350696866
late,14,0.0168005397005085
late,15,0.0071855531451331
late,16,0.0060565141069205
middle,1,0.0059343938420372
middle,2,0.0038307140035806
middle,3,0.0089113056769816
middle,4,0.0076201803583077
middle,5,0.0033074539483843
middle,6,0.0065258234610964
middle,7,0.1408990118344144
middle,8,0.0726405431018645
middle,9,0.0087101348445233
middle,10,0.0102525343992038
middle,11,0.007905299711122
middle,12,0.0095172257026902
middle,13,0.0105086727954709
middle,14,0.0146855025124526
middle,15,0.0086197033983263
middle,16,0.006889717470873
