test_condition,coverage,mean_width,mae,q_cond,q_global,neighbors
1,0.9473684210526315,0.024093939517203317,0.0053910495908733955,1.3413068056106567,1.6092000007629395,"2,8,11"
2,1.0,0.03034312234019908,0.0030762916643563205,1.4082592725753784,1.568737268447876,"1,3,5"
3,0.7,0.0334703351158299,0.010315836587288721,1.8842651844024658,1.7432916164398193,"4,6,2"
4,0.95,0.082094086232116,0.008077425590607664,1.6053489446640015,1.5265741348266602,"3,6,9"
5,1.0,0.02838367793562162,0.002977896635411708,1.6383625268936157,1.6083728075027466,"12,6,2"
6,0.8,0.01836606047798305,0.006007940125663576,1.382318377494812,1.519716501235962,"9,3,4"
7,0.0,0.19705880481900495,0.13678653437165433,1.604805827140808,1.6193487644195557,"10,16,13"
8,1.0,0.33195027350253836,0.06807161725507846,1.6895205974578857,1.5141220092773438,"11,1,2"
9,1.0,0.09306675413320023,0.010764997848120832,1.6609355211257935,1.5680961608886719,"6,12,15"
10,0.7,0.04476420968290436,0.010451982375202423,1.1417760848999023,1.5321736335754395,"7,13,16"
11,0.95,0.043731195617408215,0.009008392181990853,1.6634501218795776,1.5112308263778687,"8,14,12"
12,0.75,0.025298462799700643,0.009015672803495089,1.7114390134811401,1.6941609382629395,"5,9,14"
13,0.35,0.0208155611336514,0.013061707302495335,1.3527835607528687,1.5705448389053345,"10,16,7"
14,0.95,0.16143882295609124,0.014237022207533956,1.9348558187484741,1.5391666889190674,"11,12,15"
15,0.5,0.026258669708654647,0.009609606162842012,1.4791287183761597,1.5892621278762817,"9,12,14"
16,0.95,0.02310836347047963,0.0059802519043430265,1.2994117736816406,1.624673843383789,"10,13,7"
