test_condition,coverage,mean_width,mae
1,1.0,0.028906114042874825,0.0053910495908733955
2,1.0,0.0338008687626772,0.0030762916643563205
3,0.65,0.030966211704092438,0.010315836587288721
4,0.95,0.07806571218097863,0.008077425590607664
5,1.0,0.027864123488667798,0.002977896635411708
6,0.8,0.020191589452548696,0.006007940125663576
7,0.0,0.1988445746549817,0.13678653437165433
8,1.0,0.297488657937688,0.06807161725507846
9,1.0,0.08786471118621372,0.010764997848120832
10,0.85,0.06007004587944342,0.010451982375202423
11,0.9,0.03972943343604044,0.009008392181990853
12,0.75,0.025043058581545662,0.009015672803495089
13,0.4,0.024166299070917625,0.013061707302495335
14,0.9,0.12842365626656566,0.014237022207533956
15,0.65,0.028213845609185207,0.009609606162842012
16,1.0,0.028892730121661936,0.0059802519043430265
