condition_id,n,coverage,mean_width,mae
1,19,100.0,0.08255521924194426,0.005390947391798609
2,20,100.0,0.03439905392937359,0.0031275999057292906
3,20,65.0,0.030411900015471355,0.009820999951958623
4,20,85.0,0.06417861010215341,0.007750800063312057
5,20,100.0,0.026193112125945696,0.002741000056862826
6,20,90.0,0.028865148793500835,0.006297199836373324
7,20,0.0,0.2451405960393282,0.14408539812386043
8,20,100.0,0.37014106147163234,0.06429079730719325
9,20,95.0,0.05604876570952612,0.010197400197386724
10,20,65.0,0.023138551213558563,0.00958560014575717
11,20,85.0,0.030835765262749858,0.00921499995112423
12,20,70.0,0.02333648365509155,0.008540800073742813
13,20,45.0,0.027022794903654022,0.013194000031650022
14,20,95.0,0.15293514206482678,0.01559399989128113
15,20,70.0,0.029891302272814897,0.010485600122511434
16,20,95.0,0.02718440168475162,0.0061339998340607165
