model,config,condition,seed_avg_mae
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,1,0.015685672964900733
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,2,0.02558349510654807
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,3,0.01395933348685503
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,4,0.038483780436217786
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,5,0.013865339756011962
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,6,0.01925921384245157
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,7,0.25265644788742064
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,8,0.1263169303536415
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,9,0.04336743988096714
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,10,0.029354114457964896
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,11,0.030632421560585498
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,12,0.02637832686305046
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,13,0.011774434708058834
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,14,0.005950472597032785
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,15,0.04554661028087139
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,16,0.016887542419135572
ChannelAttentionCNN,ae_spec,1,0.010406397562474013
ChannelAttentionCNN,ae_spec,2,0.011537869554013013
ChannelAttentionCNN,ae_spec,3,0.013914296124130487
ChannelAttentionCNN,ae_spec,4,0.016491827555000782
ChannelAttentionCNN,ae_spec,5,0.00912658954039216
ChannelAttentionCNN,ae_spec,6,0.010968505404889584
ChannelAttentionCNN,ae_spec,7,0.2614399790763855
ChannelAttentionCNN,ae_spec,8,0.10056987665593624
ChannelAttentionCNN,ae_spec,9,0.052405493427067996
ChannelAttentionCNN,ae_spec,10,0.03079703785479069
ChannelAttentionCNN,ae_spec,11,0.016418351605534554
ChannelAttentionCNN,ae_spec,12,0.04628698099404573
ChannelAttentionCNN,ae_spec,13,0.020998914912343025
ChannelAttentionCNN,ae_spec,14,0.016538242250680922
ChannelAttentionCNN,ae_spec,15,0.023539750184863806
ChannelAttentionCNN,ae_spec,16,0.035876629315316676
RandomForestModel,ae_logspec+vib_logspec,1,0.005358697584453652
RandomForestModel,ae_logspec+vib_logspec,2,0.003194837494952115
RandomForestModel,ae_logspec+vib_logspec,3,0.009432456252696416
RandomForestModel,ae_logspec+vib_logspec,4,0.008321857231407496
RandomForestModel,ae_logspec+vib_logspec,5,0.0036409731456548966
RandomForestModel,ae_logspec+vib_logspec,6,0.0061455230734764835
RandomForestModel,ae_logspec+vib_logspec,7,0.1509488449300846
RandomForestModel,ae_logspec+vib_logspec,8,0.05847431505092471
RandomForestModel,ae_logspec+vib_logspec,9,0.00923006819455811
RandomForestModel,ae_logspec+vib_logspec,10,0.010490612301651592
RandomForestModel,ae_logspec+vib_logspec,11,0.008156104359697196
RandomForestModel,ae_logspec+vib_logspec,12,0.00999180425788585
RandomForestModel,ae_logspec+vib_logspec,13,0.012329962677679792
RandomForestModel,ae_logspec+vib_logspec,14,0.014245687275414119
RandomForestModel,ae_logspec+vib_logspec,15,0.009947909731928717
RandomForestModel,ae_logspec+vib_logspec,16,0.005044107314499173
ResNetAECNN,ae_spec,1,0.016052556782960893
ResNetAECNN,ae_spec,2,0.016298404708504678
ResNetAECNN,ae_spec,3,0.014001865778118372
ResNetAECNN,ae_spec,4,0.008475181180983782
ResNetAECNN,ae_spec,5,0.01780576789751649
ResNetAECNN,ae_spec,6,0.0072880849242210385
ResNetAECNN,ae_spec,7,0.25313865542411806
ResNetAECNN,ae_spec,8,0.12811886370182038
ResNetAECNN,ae_spec,9,0.06072735991328955
ResNetAECNN,ae_spec,10,0.032104909792542456
ResNetAECNN,ae_spec,11,0.018575424328446388
ResNetAECNN,ae_spec,12,0.04549374375492334
ResNetAECNN,ae_spec,13,0.012063912954181433
ResNetAECNN,ae_spec,14,0.01733806822448969
ResNetAECNN,ae_spec,15,0.020263895206153393
ResNetAECNN,ae_spec,16,0.008865902200341225
ResNetFusion,ae_spec+vib_spec+physics,1,0.01309395395219326
ResNetFusion,ae_spec+vib_spec+physics,2,0.031135824974626303
ResNetFusion,ae_spec+vib_spec+physics,3,0.012074811849743128
ResNetFusion,ae_spec+vib_spec+physics,4,0.045339026302099225
ResNetFusion,ae_spec+vib_spec+physics,5,0.01084043513983488
ResNetFusion,ae_spec+vib_spec+physics,6,0.027231900952756405
ResNetFusion,ae_spec+vib_spec+physics,7,0.22588615119457245
ResNetFusion,ae_spec+vib_spec+physics,8,0.1354425221681595
ResNetFusion,ae_spec+vib_spec+physics,9,0.021739092841744422
ResNetFusion,ae_spec+vib_spec+physics,10,0.011112808156758547
ResNetFusion,ae_spec+vib_spec+physics,11,0.01845501447096467
ResNetFusion,ae_spec+vib_spec+physics,12,0.014687913749367
ResNetFusion,ae_spec+vib_spec+physics,13,0.014881198294460773
ResNetFusion,ae_spec+vib_spec+physics,14,0.032358701899647714
ResNetFusion,ae_spec+vib_spec+physics,15,0.03240387998521328
ResNetFusion,ae_spec+vib_spec+physics,16,0.02042297348380089
ResNetVibCNN,vib_spec,1,0.008819775190204382
ResNetVibCNN,vib_spec,2,0.013678059726953507
