model,config,seed,fold,repeat,mae,mse,r2
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,0,0,0.01861029677093029,0.0004942835657857358,-12.258833885192871
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,1,0,0.009655536152422428,0.00014187805936671793,-6.528645038604736
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,2,0,0.01413768995553255,0.00029593982617370784,-1.8960926532745361
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,3,0,0.009249485097825527,0.00012131610128562897,-0.06309831142425537
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,4,0,0.016456177458167076,0.0004337280406616628,-13.610727310180664
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,5,0,0.012935912236571312,0.0002168974606320262,-3.159755229949951
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,6,0,0.2317676842212677,0.05520941689610481,-318.2751159667969
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,7,0,0.1358264982700348,0.018663018941879272,-154.60751342773438
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,8,0,0.05315031483769417,0.00391019694507122,-52.53420639038086
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,9,0,0.052707213908433914,0.003034465480595827,-49.275779724121094
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,10,0,0.014906197786331177,0.0002867518051061779,-9.566583633422852
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,11,0,0.011695878580212593,0.00019635986245702952,-2.2288591861724854
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,12,0,0.01078750379383564,0.00014972311328165233,-1.6139538288116455
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,13,0,0.0039481595158576965,2.6968269594362937e-05,-0.2637662887573242
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,14,0,0.04914269968867302,0.0024472300428897142,-72.74639129638672
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,43,15,0,0.025037279352545738,0.0006873017409816384,-12.185294151306152
