model,config,seed,fold,repeat,mae,mse,r2
ChannelAttentionCNN,ae_spec,46,0,0,0.007577798794955015,0.0001071338847395964,-1.8737964630126953
ChannelAttentionCNN,ae_spec,46,1,0,0.022030530497431755,0.0005042562843300402,-25.757951736450195
ChannelAttentionCNN,ae_spec,46,2,0,0.02888835407793522,0.0008728733519092202,-7.542013168334961
ChannelAttentionCNN,ae_spec,46,3,0,0.023960422724485397,0.0007124663679860532,-5.243373870849609
ChannelAttentionCNN,ae_spec,46,4,0,0.011368964798748493,0.00016535056056454778,-4.570061683654785
ChannelAttentionCNN,ae_spec,46,5,0,0.008515514433383942,0.0001050959326676093,-1.0155761241912842
ChannelAttentionCNN,ae_spec,46,6,0,0.26099416613578796,0.06829295307397842,-393.9369812011719
ChannelAttentionCNN,ae_spec,46,7,0,0.13645470142364502,0.01905224658548832,-157.85279846191406
ChannelAttentionCNN,ae_spec,46,8,0,0.04209350049495697,0.002018508268520236,-26.635242462158203
ChannelAttentionCNN,ae_spec,46,9,0,0.020253242924809456,0.0005451863398775458,-8.032782554626465
ChannelAttentionCNN,ae_spec,46,10,0,0.028104132041335106,0.001005668193101883,-36.058101654052734
ChannelAttentionCNN,ae_spec,46,11,0,0.013194004073739052,0.00021175325673539191,-2.4819815158843994
ChannelAttentionCNN,ae_spec,46,12,0,0.00911771971732378,0.0001563764235470444,-1.7301111221313477
ChannelAttentionCNN,ae_spec,46,13,0,0.01057622954249382,0.00014660481247119606,-5.870081424713135
ChannelAttentionCNN,ae_spec,46,14,0,0.03399921953678131,0.0011807031696662307,-34.58006286621094
ChannelAttentionCNN,ae_spec,46,15,0,0.016479602083563805,0.00032110780011862516,-5.160177707672119
