model,config,seed,fold,test_condition,validation_condition,n_training_conditions,mae
RandomForestModel,ae_logspec+vib_logspec,42,0,1,8,14,0.005420325180779272
RandomForestModel,ae_logspec+vib_logspec,42,1,2,5,14,0.003074716657519721
RandomForestModel,ae_logspec+vib_logspec,42,2,3,14,14,0.009652393304394762
RandomForestModel,ae_logspec+vib_logspec,42,3,4,16,14,0.00816960755360819
RandomForestModel,ae_logspec+vib_logspec,42,4,5,12,14,0.0033233874611621147
RandomForestModel,ae_logspec+vib_logspec,42,5,6,9,14,0.0059394560885748056
RandomForestModel,ae_logspec+vib_logspec,42,6,7,14,14,0.147817065814029
RandomForestModel,ae_logspec+vib_logspec,42,7,8,5,14,0.06981357902025631
RandomForestModel,ae_logspec+vib_logspec,42,8,9,7,14,0.008927700101770162
RandomForestModel,ae_logspec+vib_logspec,42,9,10,11,14,0.011190870714761485
RandomForestModel,ae_logspec+vib_logspec,42,10,11,3,14,0.008219613716475506
RandomForestModel,ae_logspec+vib_logspec,42,11,12,7,14,0.009642958580685297
RandomForestModel,ae_logspec+vib_logspec,42,12,13,11,14,0.012346065255723158
RandomForestModel,ae_logspec+vib_logspec,42,13,14,11,14,0.016817687995131735
RandomForestModel,ae_logspec+vib_logspec,42,14,15,8,14,0.009781050070015325
RandomForestModel,ae_logspec+vib_logspec,42,15,16,5,14,0.00523360908445766
RandomForestModel,ae_logspec+vib_logspec,43,0,1,8,14,0.00525183327533146
RandomForestModel,ae_logspec+vib_logspec,43,1,2,5,14,0.0033892602006012837
RandomForestModel,ae_logspec+vib_logspec,43,2,3,14,14,0.009398745178076257
RandomForestModel,ae_logspec+vib_logspec,43,3,4,16,14,0.008658580340693339
RandomForestModel,ae_logspec+vib_logspec,43,4,5,12,14,0.003771985265115101
RandomForestModel,ae_logspec+vib_logspec,43,5,6,9,14,0.006230954838759873
RandomForestModel,ae_logspec+vib_logspec,43,6,7,14,14,0.1493280068814387
RandomForestModel,ae_logspec+vib_logspec,43,7,8,5,14,0.06329559661219326
RandomForestModel,ae_logspec+vib_logspec,43,8,9,7,14,0.00925355391216595
RandomForestModel,ae_logspec+vib_logspec,43,9,10,11,14,0.009937480133095953
RandomForestModel,ae_logspec+vib_logspec,43,10,11,3,14,0.007769926565910128
RandomForestModel,ae_logspec+vib_logspec,43,11,12,7,14,0.009084371594773252
RandomForestModel,ae_logspec+vib_logspec,43,12,13,11,14,0.012234996079600166
RandomForestModel,ae_logspec+vib_logspec,43,13,14,11,14,0.01590277311656787
RandomForestModel,ae_logspec+vib_logspec,43,14,15,8,14,0.00940017158630695
RandomForestModel,ae_logspec+vib_logspec,43,15,16,5,14,0.0047312035500787575
RandomForestModel,ae_logspec+vib_logspec,44,0,1,8,14,0.00524504541082505
RandomForestModel,ae_logspec+vib_logspec,44,1,2,5,14,0.003013420705649033
RandomForestModel,ae_logspec+vib_logspec,44,2,3,14,14,0.009372948231877601
RandomForestModel,ae_logspec+vib_logspec,44,3,4,16,14,0.008843920954221955
RandomForestModel,ae_logspec+vib_logspec,44,4,5,12,14,0.004223770966962879
RandomForestModel,ae_logspec+vib_logspec,44,5,6,9,14,0.005918906773285064
RandomForestModel,ae_logspec+vib_logspec,44,6,7,14,14,0.1453924883844339
RandomForestModel,ae_logspec+vib_logspec,44,7,8,5,14,0.06550761881350228
RandomForestModel,ae_logspec+vib_logspec,44,8,9,7,14,0.009044436519210896
RandomForestModel,ae_logspec+vib_logspec,44,9,10,11,14,0.010679390799691182
RandomForestModel,ae_logspec+vib_logspec,44,10,11,3,14,0.007749920413076816
RandomForestModel,ae_logspec+vib_logspec,44,11,12,7,14,0.009879878303312694
RandomForestModel,ae_logspec+vib_logspec,44,12,13,11,14,0.012045357746347046
RandomForestModel,ae_logspec+vib_logspec,44,13,14,11,14,0.01363367674753083
RandomForestModel,ae_logspec+vib_logspec,44,14,15,8,14,0.01020794649858105
RandomForestModel,ae_logspec+vib_logspec,44,15,16,5,14,0.005144104055473201
RandomForestModel,ae_logspec+vib_logspec,45,0,1,8,14,0.005350366057399861
RandomForestModel,ae_logspec+vib_logspec,45,1,2,5,14,0.002950869837808629
RandomForestModel,ae_logspec+vib_logspec,45,2,3,14,14,0.009577224244502313
RandomForestModel,ae_logspec+vib_logspec,45,3,4,16,14,0.00782600392158661
RandomForestModel,ae_logspec+vib_logspec,45,4,5,12,14,0.003238234359235654
RandomForestModel,ae_logspec+vib_logspec,45,5,6,9,14,0.0062115586315294
RandomForestModel,ae_logspec+vib_logspec,45,6,7,14,14,0.16163294629235972
RandomForestModel,ae_logspec+vib_logspec,45,7,8,5,14,0.04510116721872273
RandomForestModel,ae_logspec+vib_logspec,45,8,9,7,14,0.009732270948202077
RandomForestModel,ae_logspec+vib_logspec,45,9,10,11,14,0.010420212232019947
RandomForestModel,ae_logspec+vib_logspec,45,10,11,3,14,0.00768341230206806
RandomForestModel,ae_logspec+vib_logspec,45,11,12,7,14,0.011021683851763085
RandomForestModel,ae_logspec+vib_logspec,45,12,13,11,14,0.012928632143881342
RandomForestModel,ae_logspec+vib_logspec,45,13,14,11,14,0.012753758827951916
RandomForestModel,ae_logspec+vib_logspec,45,14,15,8,14,0.009944794330150622
RandomForestModel,ae_logspec+vib_logspec,45,15,16,5,14,0.0049055291815165054
RandomForestModel,ae_logspec+vib_logspec,46,0,1,8,14,0.005525917997932618
RandomForestModel,ae_logspec+vib_logspec,46,1,2,5,14,0.0035459200731819103
RandomForestModel,ae_logspec+vib_logspec,46,2,3,14,14,0.009160970304631158
RandomForestModel,ae_logspec+vib_logspec,46,3,4,16,14,0.008111173386927387
RandomForestModel,ae_logspec+vib_logspec,46,4,5,12,14,0.003647487675798733
RandomForestModel,ae_logspec+vib_logspec,46,5,6,9,14,0.006426739035233273
RandomForestModel,ae_logspec+vib_logspec,46,6,7,14,14,0.15057371727816177
RandomForestModel,ae_logspec+vib_logspec,46,7,8,5,14,0.04865361358994895
RandomForestModel,ae_logspec+vib_logspec,46,8,9,7,14,0.009192379491441463
RandomForestModel,ae_logspec+vib_logspec,46,9,10,11,14,0.01022510762868939
RandomForestModel,ae_logspec+vib_logspec,46,10,11,3,14,0.00935764880095548
RandomForestModel,ae_logspec+vib_logspec,46,11,12,7,14,0.010330128958894916
RandomForestModel,ae_logspec+vib_logspec,46,12,13,11,14,0.012094762162847248
RandomForestModel,ae_logspec+vib_logspec,46,13,14,11,14,0.012120539689888238
RandomForestModel,ae_logspec+vib_logspec,46,14,15,8,14,0.010405586174589646
RandomForestModel,ae_logspec+vib_logspec,46,15,16,5,14,0.005206090700969745
