model,config,seed,fold,repeat,mae,mse,r2
ResNetAECNN,ae_spec,44,0,0,0.01114653144031763,0.00017692800611257553,-3.745978355407715
ResNetAECNN,ae_spec,44,1,0,0.006660287268459797,5.7951743656303734e-05,-2.075162649154663
ResNetAECNN,ae_spec,44,2,0,0.007334941532462835,6.80417797411792e-05,0.3341372609138489
ResNetAECNN,ae_spec,44,3,0,0.00854959525167942,0.0001035716850310564,0.09239685535430908
ResNetAECNN,ae_spec,44,4,0,0.008710446767508984,0.00010511500295251608,-2.5409436225891113
ResNetAECNN,ae_spec,44,5,0,0.006044108420610428,6.543516792589799e-05,-0.25494444370269775
ResNetAECNN,ae_spec,44,6,0,0.2576904296875,0.06664051115512848,-384.38092041015625
ResNetAECNN,ae_spec,44,7,0,0.13341887295246124,0.01841774396598339,-152.56246948242188
ResNetAECNN,ae_spec,44,8,0,0.13425421714782715,0.022986041381955147,-313.70013427734375
ResNetAECNN,ae_spec,44,9,0,0.02403740957379341,0.0008125424501486123,-12.46240520477295
ResNetAECNN,ae_spec,44,10,0,0.013628555461764336,0.00022593591711483896,-7.325565338134766
ResNetAECNN,ae_spec,44,11,0,0.08006338775157928,0.007091412786394358,-115.60820770263672
ResNetAECNN,ae_spec,44,12,0,0.018663790076971054,0.0003843817685265094,-5.710761547088623
ResNetAECNN,ae_spec,44,13,0,0.023956893011927605,0.0007726325420662761,-35.20650863647461
ResNetAECNN,ae_spec,44,14,0,0.0211411751806736,0.0004752351378556341,-13.321039199829102
ResNetAECNN,ae_spec,44,15,0,0.009217026643455029,0.00011064302816521376,-1.1225917339324951
