model,config,seed,fold,repeat,mae,mse,r2
ResNetFusion,ae_spec+vib_spec+physics,43,0,0,0.016357991844415665,0.0003063897311221808,-7.2187042236328125
ResNetFusion,ae_spec+vib_spec+physics,43,1,0,0.022031936794519424,0.0005599676514975727,-28.714231491088867
ResNetFusion,ae_spec+vib_spec+physics,43,2,0,0.006450863089412451,5.599884389084764e-05,0.4519904851913452
ResNetFusion,ae_spec+vib_spec+physics,43,3,0,0.011110625229775906,0.0001522691745776683,-0.3343414068222046
ResNetFusion,ae_spec+vib_spec+physics,43,4,0,0.010172619484364986,0.00013505862443707883,-3.549635887145996
ResNetFusion,ae_spec+vib_spec+physics,43,5,0,0.02626381255686283,0.0007459826883859932,-13.306784629821777
ResNetFusion,ae_spec+vib_spec+physics,43,6,0,0.22312529385089874,0.0526449978351593,-303.44512939453125
ResNetFusion,ae_spec+vib_spec+physics,43,7,0,0.14781853556632996,0.02203342504799366,-182.7091064453125
ResNetFusion,ae_spec+vib_spec+physics,43,8,0,0.01764489710330963,0.00044507934944704175,-5.093547344207764
ResNetFusion,ae_spec+vib_spec+physics,43,9,0,0.01116005890071392,0.00015056361735332757,-1.4945755004882812
ResNetFusion,ae_spec+vib_spec+physics,43,10,0,0.007027591113001108,7.524272950831801e-05,-1.772636890411377
ResNetFusion,ae_spec+vib_spec+physics,43,11,0,0.030434992164373398,0.0013278942788019776,-20.83533477783203
ResNetFusion,ae_spec+vib_spec+physics,43,12,0,0.01587889902293682,0.0003029088256880641,-4.288359642028809
ResNetFusion,ae_spec+vib_spec+physics,43,13,0,0.016304906457662582,0.0002863485715351999,-12.418646812438965
ResNetFusion,ae_spec+vib_spec+physics,43,14,0,0.018214592710137367,0.0003570925327949226,-9.76085376739502
ResNetFusion,ae_spec+vib_spec+physics,43,15,0,0.027484461665153503,0.0008126844768412411,-14.590654373168945
