model,config,seed,fold,repeat,mae,mse,r2
ResNetVibCNN,vib_spec,43,0,0,0.008063592948019505,9.20808088267222e-05,-1.4700074195861816
ResNetVibCNN,vib_spec,43,1,0,0.01650671288371086,0.0003856874827761203,-19.46619415283203
ResNetVibCNN,vib_spec,43,2,0,0.008635291829705238,9.710770973470062e-05,0.04969555139541626
ResNetVibCNN,vib_spec,43,3,0,0.010922643356025219,0.00025308330077677965,-1.2177798748016357
ResNetVibCNN,vib_spec,43,4,0,0.005983803421258926,6.474267865996808e-05,-1.1809463500976562
ResNetVibCNN,vib_spec,43,5,0,0.03309077024459839,0.0012449455680325627,-22.876113891601562
ResNetVibCNN,vib_spec,43,6,0,0.11898589134216309,0.018608078360557556,-106.61019897460938
ResNetVibCNN,vib_spec,43,7,0,0.13365361094474792,0.01830919459462166,-151.65740966796875
ResNetVibCNN,vib_spec,43,8,0,0.020381709560751915,0.0006994901923462749,-8.576666831970215
ResNetVibCNN,vib_spec,43,9,0,0.01237082201987505,0.00017993476649280638,-1.9812040328979492
ResNetVibCNN,vib_spec,43,10,0,0.006395380012691021,6.905046757310629e-05,-1.5444567203521729
ResNetVibCNN,vib_spec,43,11,0,0.02417810633778572,0.0006720258970744908,-10.050511360168457
ResNetVibCNN,vib_spec,43,12,0,0.008603432215750217,8.797398186288774e-05,-0.5359011888504028
ResNetVibCNN,vib_spec,43,13,0,0.01274111121892929,0.0002160979638574645,-9.126616477966309
ResNetVibCNN,vib_spec,43,14,0,0.012879995629191399,0.00021542515605688095,-5.491759300231934
ResNetVibCNN,vib_spec,43,15,0,0.018841851502656937,0.000499109853990376,-8.574994087219238
