model,config,seed,fold,test_condition,mae,mse,r2
TrajectoryCNN,vib_trajectory,45,0,1,0.012393610551953316,0.0005791930598206818,-14.53647429052549
TrajectoryCNN,vib_trajectory,45,1,2,0.07138896733522415,0.008240796625614166,-436.2911000416842
TrajectoryCNN,vib_trajectory,45,2,3,0.009432201273739338,0.00013153722102288157,-0.2872344546598884
TrajectoryCNN,vib_trajectory,45,3,4,0.011197329498827457,0.00019303883891552687,-0.691607620932964
TrajectoryCNN,vib_trajectory,45,4,5,0.00475862342864275,4.3356179958209395e-05,-0.46051242026593875
TrajectoryCNN,vib_trajectory,45,5,6,0.014625309035182,0.0002824816037900746,-4.417556505817084
TrajectoryCNN,vib_trajectory,45,6,7,0.2588188946247101,0.0682259052991867,-393.5492464825287
TrajectoryCNN,vib_trajectory,45,7,8,0.14434877038002014,0.020956020802259445,-173.72598006688526
TrajectoryCNN,vib_trajectory,45,8,9,0.026767557486891747,0.002503793453797698,-33.27924297975055
TrajectoryCNN,vib_trajectory,45,9,10,0.04149738699197769,0.0031921141780912876,-51.88773648701266
TrajectoryCNN,vib_trajectory,45,10,11,0.009169521741569042,0.0001140586900874041,-3.202974405498101
TrajectoryCNN,vib_trajectory,45,11,12,0.007107818033546209,8.151651127263904e-05,-0.3404231591865776
TrajectoryCNN,vib_trajectory,45,12,13,0.00970100611448288,0.00011336104944348335,-0.9791233467514782
TrajectoryCNN,vib_trajectory,45,13,14,0.08859343826770782,0.01195467822253704,-559.2107720637601
TrajectoryCNN,vib_trajectory,45,14,15,0.005106313619762659,3.617487527662888e-05,-0.09011668641983839
TrajectoryCNN,vib_trajectory,45,15,16,0.00788397341966629,0.00010288188786944374,-0.9737005860369097
