feature,mean_abs_shap
vib_y_rms,0.024422245
vib_z_rms,0.014591935
ae_broad_rms,0.0063774814
vib_z_skewness,0.005985389
vib_x_skewness,0.0044336715
vib_x_rms,0.0037113896
ae_broad_crest_factor,0.0023057936
ae_narrow_skewness,0.0021113819
vib_y_crest_factor,0.0019848722
vib_x_crest_factor,0.0019496471
ae_narrow_rms,0.0013484318
vib_z_kurtosis,0.0012973828
vib_z_crest_factor,0.0011558718
ae_broad_kurtosis,0.0010628016
vib_y_kurtosis,0.0009271485
ae_narrow_kurtosis,0.0007703245
vib_x_kurtosis,0.0006814835
vib_y_skewness,0.00044949472
ae_narrow_crest_factor,0.00040725214
ae_broad_skewness,0.0003523041
