feature,mean_abs_shap
vib_x_skewness,0.020870045
vib_y_crest_factor,0.018051276
vib_z_crest_factor,0.017894153
vib_x_rms,0.01307268
ae_broad_kurtosis,0.0044618365
vib_x_crest_factor,0.0030028871
vib_x_kurtosis,0.0026888484
workpiece_speed,0.0014681346
ae_narrow_rms,0.0014047619
ae_narrow_skewness,0.0013689445
ae_broad_rms,0.0013160505
vib_y_skewness,0.0010528174
vib_y_kurtosis,0.0010389531
vib_y_rms,0.0010146884
grinding_depth,0.00085329096
vib_z_rms,0.0007109532
vib_z_skewness,0.00062921125
ae_broad_crest_factor,0.00054339436
ae_narrow_kurtosis,0.00052072643
wheel_speed,0.000519733
vib_z_kurtosis,0.00051254785
ae_narrow_crest_factor,0.00045324303
ae_broad_skewness,0.00031078563
