condition,mean_Ra,std_Ra,mean_AE_RMS,mean_Vib_RMS
1,0.10277894,0.0061056996,0.49364739499594035,1.034654243996269
2,0.08877,0.0043410943,0.579369780421257,1.5313168570399285
3,0.09069,0.010108704,0.6248544037342072,1.6298563122749328
4,0.09562001,0.010682491,0.8333467602729797,1.8759522289037704
5,0.09692,0.0054484485,0.7430728614330292,1.4577831491827964
6,0.09029,0.0072209337,0.9365916937589646,1.794034330546856
7,0.35397,0.013149948,0.4369405835866928,1.590896984934807
8,0.24153998,0.010951552,0.3006437696516514,0.8957841545343399
9,0.08453,0.008546408,0.3617108717560768,1.4749942660331725
10,0.078260005,0.007768939,0.5123009890317917,1.5220448791980743
11,0.10832001,0.005209377,0.30597541853785515,0.7473376456648111
12,0.093100004,0.0077983337,0.4341778591275215,1.1488793045282364
13,0.08896001,0.0075682504,0.7134703695774078,1.4962394550442695
14,0.106379986,0.0046194806,0.7930311836302281,0.7892974495887757
15,0.102139995,0.0057605905,0.9649573311209678,1.3391946613788606
16,0.10076,0.0072198603,0.9547990903258323,1.5439845412969588
