comparison,model_a,config_a,mean_mae_a,ci_lower_a,ci_upper_a,model_b,config_b,mean_mae_b,ci_lower_b,ci_upper_b,median_diff,hl_diff,hl_ci_lower,hl_ci_upper,rank_biserial,effect_size_mad,wilcoxon_statistic,p_raw,p_Holm,significant_05
Best RF (auditable ML) vs Best DL,RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,0.0076295904945336,0.0404682595406137,ResNetVibCNN,vib_spec,0.0268156348788914,0.0120150225561749,0.0513139543846849,-0.0042356105972371,-0.0042015154636972,-0.0164327134998572,0.0002620036665575,-0.4852941176470588,-0.7494437089090051,35.0,0.09344482421875,1.0,False
Best RF (spectrogram) vs Best WST,RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,0.0076295904945336,0.0404682595406137,LightGBMModel,vib_wst,0.0225490321542909,0.0084390549917943,0.0433080204073786,-0.0008867175454257,-0.0010800172472519,-0.0039474769958802,0.0017715935358003,-0.2647058823529412,-0.3158989355659074,50.0,0.375457763671875,1.0,False
RF dB vs Ridge dB,RandomForestModel,ae_spec+vib_spec,0.0210083645939763,0.0082337627509199,0.0438330361269337,RidgeRegressionModel,ae_spec+vib_spec,0.0248334539515015,0.0130816987832383,0.0425975254451929,-0.0056958204473967,-0.0050183769284546,-0.0096755247897718,-0.0011893379275101,-0.6029411764705882,-1.1008628180177924,27.0,0.033538818359375,0.436004638671875,False
RF WST vs Ridge WST,RandomForestModel,vib_wst,0.0247936710829382,0.0110405523836943,0.0441707538927249,RidgeRegressionModel,vib_wst,0.031024376071965,0.0192734239765559,0.0507606019337177,-0.007506719470086,-0.0087679713207786,-0.0146606186723993,0.0014784128204462,-0.4852941176470588,-1.1226414484441187,35.0,0.09344482421875,1.0,False
RF dB vs Shallow MLP features,RandomForestModel,ae_spec+vib_spec,0.0210083645939763,0.0082337627509199,0.0438330361269337,ShallowMLPModel,ae_features+vib_features+pp,0.0495435924949369,0.0271536804310285,0.0825025145464582,-0.0196473864990822,-0.0248567064417755,-0.0411794643515613,-0.0126576956700201,-1.0,-1.5555597755688837,0.0,3.0517578125e-05,0.00042724609375,True
RF Vib-dB vs ResNetVibCNN Vib-dB,RandomForestModel,vib_spec,0.02208674724599,0.0083734114214269,0.046209419219515,ResNetVibCNN,vib_spec,0.0268156348788914,0.0120150225561749,0.0513139543846849,-0.0028854325852743,-0.0032419168128142,-0.0086020759428299,-7.98041862130017e-05,-0.5441176470588235,-0.7603127455222344,31.0,0.05767822265625,0.692138671875,False
RF AE/Vib dB-z vs RF Vib-dB-z,RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,0.0076295904945336,0.0404682595406137,RandomForestModel,vib_logspec,0.0222753092862144,0.0079933320076158,0.0437574184855268,7.080372367276183e-05,-0.0003238220765015,-0.0022235602432749,0.0007941828386245,-0.0588235294117647,0.0552201468163785,64.0,0.860260009765625,1.0,False
RF dB-z vs RF dB,RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,0.0076295904945336,0.0404682595406137,RandomForestModel,ae_spec+vib_spec,0.0210083645939763,0.0082337627509199,0.0438330361269337,-0.0005827947255944,-0.0005871996078184,-0.0031473915192849,0.0016781095308084,-0.1764705882352941,-0.2993981219512301,56.0,0.5618896484375,1.0,False
Best RF vs Best LightGBM,RandomForestModel,ae_logspec+vib_logspec,0.0200084976130886,0.0076295904945336,0.0404682595406137,LightGBMModel,vib_logspec,0.0249992690716514,0.0077704164606057,0.0515896352099267,-0.0004986453518543,-0.000773371654636,-0.0114939807581742,0.000946880699153,-0.2647058823529412,-0.2361967781816758,50.0,0.375457763671875,1.0,False
ResNetVibCNN vs BilinearFusion,ResNetVibCNN,vib_spec,0.0268156348788914,0.0120150225561749,0.0513139543846849,BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,0.0316650927299633,0.0149055211350787,0.0551045303151477,-0.0029550425708294,-0.0029124012216925,-0.0093704657629132,0.0034322641789913,-0.3088235294117647,-0.4441806168006526,47.0,0.2978515625,1.0,False
LightGBM Vib-WST vs ResNetVibCNN Vib-dB,LightGBMModel,vib_wst,0.0225490321542909,0.0084390549917943,0.0433080204073786,ResNetVibCNN,vib_spec,0.0268156348788914,0.0120150225561749,0.0513139543846849,-0.002006216215203,-0.002312220765031,-0.0156823939858438,0.0006445770013412,-0.4117647058823529,-0.6234512236521439,40.0,0.1590576171875,1.0,False
RF AE-dB vs ResNetAECNN,RandomForestModel,ae_spec,0.0402872879563153,0.0197245768254494,0.0692411862582046,ResNetAECNN,ae_spec,0.0300071182967114,0.0134794085674404,0.0514962622536787,0.0025079055676217,0.0044836456434928,-0.0016433842025204,0.0266458743459886,0.3382352941176471,0.4435999015383219,45.0,0.252227783203125,1.0,False
ResNetAECNN vs ChannelAttentionCNN,ResNetAECNN,ae_spec,0.0300071182967114,0.0134794085674404,0.0514962622536787,ChannelAttentionCNN,ae_spec,0.0405955959013418,0.0193446617078734,0.0739029264441801,-0.0036023432388901,-0.0098434315994381,-0.0228833368979394,0.0029458637250047,-0.3676470588235294,-0.2858907063725156,43.0,0.21142578125,1.0,False
ResNetVibCNN vs ResNetAECNN,ResNetVibCNN,vib_spec,0.0268156348788914,0.0120150225561749,0.0513139543846849,ResNetAECNN,ae_spec,0.0300071182967114,0.0134794085674404,0.0514962622536787,-0.0004600845277309,-0.0001646884717047,-0.0123252155259251,0.0092559908516705,-0.0147058823529411,-0.0875959145899474,67.0,0.979949951171875,1.0,False
