condition_id,mean,std,min,max,count
1,0.10327,0.0064886216199063216,0.092,0.1128,20
2,0.08877,0.004453868809071625,0.0804,0.0994,20
3,0.09069,0.010371311646226719,0.0748,0.1052,20
4,0.09562,0.010960003841720422,0.0812,0.119,20
5,0.09692,0.005589991055449017,0.09,0.1086,20
6,0.09029000000000001,0.007408522830248674,0.0782,0.105,20
7,0.35397,0.013491560714991968,0.3356,0.3806,20
8,0.24154,0.011236051001364452,0.2232,0.2594,20
9,0.08453000000000001,0.008768430214186156,0.0726,0.0998,20
10,0.07826,0.007970762362006471,0.066,0.0978,20
11,0.10832,0.005344707170354807,0.1002,0.122,20
12,0.09309999999999999,0.008000920999616558,0.0796,0.1066,20
13,0.08896,0.007764860116678146,0.0782,0.1062,20
14,0.10638,0.004739486980898379,0.099,0.1212,20
15,0.10214000000000001,0.005910240889204178,0.094,0.1162,20
16,0.10076,0.007407421598426954,0.0916,0.1154,20
