model,config,mae_mean,in_logo_only
AttentionMLP,ae_features+vib_features+physics+pp,0.0420817322673668,True
AttentionMLP,ae_features+vib_features+pp,0.0384249967473902,True
BilinearFusionNetwork,ae_features,0.0375440281721455,True
BilinearFusionNetwork,ae_features+physics,0.0381710471170699,True
BilinearFusionNetwork,ae_features+vib_features,0.028962727350984,True
BilinearFusionNetwork,ae_features+vib_features+physics,0.0264918813981307,True
BilinearFusionNetwork,ae_features+vib_features+physics+pp,0.0200590060311187,True
BilinearFusionNetwork,ae_features+vib_features+pp,0.020001432171613,True
BilinearFusionNetwork,ae_spec,0.0325295035927469,True
BilinearFusionNetwork,ae_spec+physics,0.0313223320604318,True
BilinearFusionNetwork,ae_spec+vib_spec,0.0168291699997905,True
BilinearFusionNetwork,ae_spec+vib_spec+physics,0.0148088223969554,True
BilinearFusionNetwork,ae_spec+vib_spec+physics+pp,0.0136628875022836,True
BilinearFusionNetwork,ae_spec+vib_spec+pp,0.0141805205269046,True
BilinearFusionNetwork,all,0.0154535587327033,True
BilinearFusionNetwork,physics+pp,0.0199343328001429,True
BilinearFusionNetwork,pp,0.019243309638202,True
BilinearFusionNetwork,vib_features,0.0282606781503697,True
BilinearFusionNetwork,vib_features+physics,0.0263250085166847,True
BilinearFusionNetwork,vib_spec,0.0167702528118319,True
BilinearFusionNetwork,vib_spec+physics,0.0173981892752747,True
ChannelAttentionCNN,ae_spec,0.0152737521663462,True
CrossAttentionFusion,ae_features+vib_features+physics+pp,0.0386386693381753,True
FeatureOnlyModel,ae_features+vib_features+physics+pp,0.0479517486583637,True
FeatureOnlyModel,ae_features+vib_features+pp,0.022984083962009,True
GraphNeuralNetworkFusion,ae_features,0.0357834268898495,True
GraphNeuralNetworkFusion,ae_features+physics,0.0364765886246384,True
GraphNeuralNetworkFusion,ae_features+vib_features,0.0265692379142433,True
GraphNeuralNetworkFusion,ae_features+vib_features+physics,0.0277313908443362,True
GraphNeuralNetworkFusion,ae_features+vib_features+physics+pp,0.0165690390039778,True
GraphNeuralNetworkFusion,ae_features+vib_features+pp,0.0168735566275001,True
GraphNeuralNetworkFusion,ae_spec,0.0321133873943294,True
GraphNeuralNetworkFusion,ae_spec+physics,0.032535254343256,True
GraphNeuralNetworkFusion,ae_spec+vib_spec,0.0162600897941594,True
GraphNeuralNetworkFusion,ae_spec+vib_spec+physics,0.0163591510983982,True
GraphNeuralNetworkFusion,ae_spec+vib_spec+physics+pp,0.0147561703893594,True
GraphNeuralNetworkFusion,ae_spec+vib_spec+pp,0.0142201803202473,True
GraphNeuralNetworkFusion,all,0.01401226389069,True
GraphNeuralNetworkFusion,physics+pp,0.0160329404090666,True
GraphNeuralNetworkFusion,pp,0.0153704227139525,True
GraphNeuralNetworkFusion,vib_features,0.0268975047618088,True
GraphNeuralNetworkFusion,vib_features+physics,0.0266305534224747,True
GraphNeuralNetworkFusion,vib_spec,0.0161323067619077,True
GraphNeuralNetworkFusion,vib_spec+physics,0.0162952968981254,True
HierarchicalAttentionNetwork,ae_features+vib_features+pp,0.0148979699594612,True
LightGBMModel,ae_features,0.0387763274275046,True
LightGBMModel,ae_features+pp,0.0197644045993252,True
LightGBMModel,ae_features+vib_features,0.0268934363757513,True
LightGBMModel,ae_features+vib_features+physics+pp,0.0661558441994385,True
LightGBMModel,ae_features+vib_features+pp,0.0223405964561143,True
LightGBMModel,ae_logspec,0.0311905838265875,True
LightGBMModel,ae_logspec+vib_logspec,0.031229246021115,True
LightGBMModel,ae_logspec+vib_logspec+pp,0.0311471856409031,True
LightGBMModel,ae_mel,0.0378595281303931,True
LightGBMModel,ae_mel+vib_mel,0.0345547300224719,True
LightGBMModel,ae_mel+vib_mel+pp,0.0345660738427594,True
LightGBMModel,ae_spec,0.0198941123705647,True
LightGBMModel,ae_spec+vib_spec,0.0114097299059127,True
LightGBMModel,ae_spec+vib_spec+pp,0.0113140017258253,True
LightGBMModel,pp,0.0252204623894205,True
LightGBMModel,vib_features,0.0266533451445208,True
LightGBMModel,vib_features+pp,0.0215529866123583,True
LightGBMModel,vib_logspec,0.0249992690716514,True
LightGBMModel,vib_mel,0.0341200946280817,True
