condition_id,Best RF,ResNetVibCNN,LightGBM (Vib-dB-z)
1,0.00519966836093163,0.005334647470398951,0.005420670505052876
2,0.003125886028485276,0.028062291443347938,0.004978137202692847
3,0.009542497677564644,0.008090335503220546,0.010694777189431605
4,0.007836750167307845,0.017687933519482623,0.007943790443404111
5,0.003480127163147481,0.010323117300868035,0.008496278251618788
6,0.005991989490553955,0.010495368018746369,0.0052988800644732294
7,0.14367146393783442,0.18767949305474757,0.1707997388792657
8,0.060941963422654254,0.03484640941023827,0.11337398075258569
9,0.00832793824254798,0.04596838466823101,0.009104226802135337
10,0.011126751618610185,0.015094594284892088,0.006986438193527336
11,0.008009663526231437,0.01628172509372235,0.010243682451681635
12,0.010530951967291587,0.007657828927040089,0.008542683394215808
13,0.012351853941655812,0.008279747888445854,0.009325605138697781
14,0.014170801330427526,0.009395781904458996,0.00950401661322961
15,0.010189006497159061,0.01113150455057622,0.014156837749311443
16,0.005638648437015471,0.012720995023846642,0.005118561515098837
