Ra,pass_order,condition_id,sample_id
0.1126,1,1,1
0.1128,2,1,2
0.1056,3,1,3
0.1102,4,1,4
0.1094,5,1,5
0.101,6,1,6
0.1084,7,1,7
0.1056,8,1,8
0.1032,9,1,9
0.1074,10,1,10
0.1098,11,1,11
0.1026,12,1,12
0.1056,13,1,13
0.0974,14,1,14
0.0962,15,1,15
0.092,16,1,16
0.095,17,1,17
0.0946,18,1,18
0.101,19,1,19
0.095,20,1,20
0.0994,21,2,1
0.092,22,2,2
0.0902,23,2,3
0.0898,24,2,4
0.0892,25,2,5
0.094,26,2,6
0.09,27,2,7
0.0884,28,2,8
0.087,29,2,9
0.0902,30,2,10
0.0828,31,2,11
0.0856,32,2,12
0.0866,33,2,13
0.0804,34,2,14
0.0832,35,2,15
0.0872,36,2,16
0.084,37,2,17
0.0892,38,2,18
0.094,39,2,19
0.0922,40,2,20
0.1052,41,3,1
0.1044,42,3,2
0.0998,43,3,3
0.1038,44,3,4
0.0998,45,3,5
0.1012,46,3,6
0.0964,47,3,7
0.0988,48,3,8
0.0928,49,3,9
0.0952,50,3,10
0.0904,51,3,11
0.081,52,3,12
0.0886,53,3,13
0.0864,54,3,14
0.0794,55,3,15
0.0756,56,3,16
0.0774,57,3,17
0.0812,58,3,18
0.0748,59,3,19
0.0816,60,3,20
0.119,61,4,1
0.1162,62,4,2
0.106,63,4,3
0.1104,64,4,4
0.1072,65,4,5
0.0988,66,4,6
0.0946,67,4,7
0.0958,68,4,8
0.0982,69,4,9
0.0922,70,4,10
0.0908,71,4,11
0.087,72,4,12
0.0816,73,4,13
0.0914,74,4,14
0.088,75,4,15
0.0848,76,4,16
0.092,77,4,17
0.0914,78,4,18
0.0858,79,4,19
0.0812,80,4,20
0.1086,81,5,1
0.1066,82,5,2
0.1068,83,5,3
0.1016,84,5,4
0.09,85,5,5
0.0954,86,5,6
0.093,87,5,7
0.0904,88,5,8
0.097,89,5,9
0.0952,90,5,10
0.0954,91,5,11
0.1036,92,5,12
0.098,93,5,13
0.0926,94,5,14
0.093,95,5,15
0.0962,96,5,16
0.0956,97,5,17
0.0912,98,5,18
0.0942,99,5,19
0.094,100,5,20
0.105,101,6,1
0.0878,102,6,2
0.0936,103,6,3
0.0954,104,6,4
0.1012,105,6,5
0.0954,106,6,6
0.0992,107,6,7
0.0964,108,6,8
0.0908,109,6,9
0.098,110,6,10
0.0838,111,6,11
0.0846,112,6,12
0.0872,113,6,13
0.0862,114,6,14
0.0886,115,6,15
0.0834,116,6,16
0.079,117,6,17
0.0858,118,6,18
0.0862,119,6,19
0.0782,120,6,20
0.3806,121,7,1
0.377,122,7,2
0.3674,123,7,3
0.3644,124,7,4
0.3676,125,7,5
0.363,126,7,6
0.3622,127,7,7
0.3562,128,7,8
0.3548,129,7,9
0.3528,130,7,10
0.3496,131,7,11
0.3496,132,7,12
0.3564,133,7,13
0.346,134,7,14
0.3376,135,7,15
0.3366,136,7,16
0.3458,137,7,17
0.337,138,7,18
0.3392,139,7,19
0.3356,140,7,20
0.2578,141,8,1
0.2592,142,8,2
0.2534,143,8,3
0.2526,144,8,4
0.2438,145,8,5
0.2334,146,8,6
0.241,147,8,7
0.2466,148,8,8
0.2434,149,8,9
0.2594,150,8,10
0.247,151,8,11
0.2302,152,8,12
0.2434,153,8,13
0.2352,154,8,14
0.237,155,8,15
0.2398,156,8,16
0.2232,157,8,17
0.2296,158,8,18
0.2232,159,8,19
0.2316,160,8,20
0.096,161,9,1
0.0998,162,9,2
0.094,163,9,3
0.0954,164,9,4
0.096,165,9,5
0.0966,166,9,6
0.0842,167,9,7
0.085,168,9,8
