held_out_condition,top_vib_bin,top_ae_bin,top_vib_freq_kHz,top_ae_freq_kHz
1,227,51,22.700000000000003,341.19
2,227,240,22.700000000000003,1605.6000000000001
3,227,49,22.700000000000003,327.81
4,237,132,23.700000000000003,883.08
5,227,132,22.700000000000003,883.08
6,171,132,17.1,883.08
7,227,150,22.700000000000003,1003.5000000000001
8,170,163,17.0,1090.47
9,227,130,22.700000000000003,869.7
10,227,12,22.700000000000003,80.28
11,211,150,21.1,1003.5000000000001
12,227,150,22.700000000000003,1003.5000000000001
13,227,150,22.700000000000003,1003.5000000000001
14,227,130,22.700000000000003,869.7
15,227,130,22.700000000000003,869.7
16,227,49,22.700000000000003,327.81
