model,config,condition,fold_mae
RandomForestModel,ae_logspec+vib_logspec,1,0.00519966836093163
RandomForestModel,ae_logspec+vib_logspec,2,0.003125886028485276
RandomForestModel,ae_logspec+vib_logspec,3,0.009542497677564644
RandomForestModel,ae_logspec+vib_logspec,4,0.007836750167307845
RandomForestModel,ae_logspec+vib_logspec,5,0.003480127163147481
RandomForestModel,ae_logspec+vib_logspec,6,0.005991989490553955
RandomForestModel,ae_logspec+vib_logspec,7,0.14367146393783442
RandomForestModel,ae_logspec+vib_logspec,8,0.060941963422654254
RandomForestModel,ae_logspec+vib_logspec,9,0.00832793824254798
RandomForestModel,ae_logspec+vib_logspec,10,0.011126751618610185
RandomForestModel,ae_logspec+vib_logspec,11,0.008009663526231437
RandomForestModel,ae_logspec+vib_logspec,12,0.010530951967291587
RandomForestModel,ae_logspec+vib_logspec,13,0.012351853941655812
RandomForestModel,ae_logspec+vib_logspec,14,0.014170801330427526
RandomForestModel,ae_logspec+vib_logspec,15,0.010189006497159061
RandomForestModel,ae_logspec+vib_logspec,16,0.005638648437015471
RandomForestModel,ae_mel+vib_mel,1,0.005068255243382563
RandomForestModel,ae_mel+vib_mel,2,0.004917259052593296
RandomForestModel,ae_mel+vib_mel,3,0.010039281405657912
RandomForestModel,ae_mel+vib_mel,4,0.011512005393195458
RandomForestModel,ae_mel+vib_mel,5,0.004762541098984844
RandomForestModel,ae_mel+vib_mel,6,0.008178497410218952
RandomForestModel,ae_mel+vib_mel,7,0.20104117717321374
RandomForestModel,ae_mel+vib_mel,8,0.010450366815159836
RandomForestModel,ae_mel+vib_mel,9,0.010830551107269123
RandomForestModel,ae_mel+vib_mel,10,0.008702214022546844
RandomForestModel,ae_mel+vib_mel,11,0.005805902174867381
RandomForestModel,ae_mel+vib_mel,12,0.010623451769082881
RandomForestModel,ae_mel+vib_mel,13,0.006329458594826244
RandomForestModel,ae_mel+vib_mel,14,0.006138830975935495
RandomForestModel,ae_mel+vib_mel,15,0.010005344185747564
RandomForestModel,ae_mel+vib_mel,16,0.007443285424242743
RandomForestModel,ae_logspec+vib_logspec+pp,1,0.005356083904119431
RandomForestModel,ae_logspec+vib_logspec+pp,2,0.0032222836177157967
RandomForestModel,ae_logspec+vib_logspec+pp,3,0.009703939244013558
RandomForestModel,ae_logspec+vib_logspec+pp,4,0.008509598880451455
RandomForestModel,ae_logspec+vib_logspec+pp,5,0.0033581462179395763
RandomForestModel,ae_logspec+vib_logspec+pp,6,0.005975981286069824
RandomForestModel,ae_logspec+vib_logspec+pp,7,0.14720088958066943
RandomForestModel,ae_logspec+vib_logspec+pp,8,0.0669167524386555
RandomForestModel,ae_logspec+vib_logspec+pp,9,0.008566936593464405
RandomForestModel,ae_logspec+vib_logspec+pp,10,0.00989477333146456
RandomForestModel,ae_logspec+vib_logspec+pp,11,0.008536655809296776
RandomForestModel,ae_logspec+vib_logspec+pp,12,0.00996444314741081
RandomForestModel,ae_logspec+vib_logspec+pp,13,0.012367055927726401
RandomForestModel,ae_logspec+vib_logspec+pp,14,0.012745947135376069
RandomForestModel,ae_logspec+vib_logspec+pp,15,0.00978182486485359
RandomForestModel,ae_logspec+vib_logspec+pp,16,0.005589373989275451
RandomForestModel,ae_mel+vib_mel+pp,1,0.005145327464246163
RandomForestModel,ae_mel+vib_mel+pp,2,0.00475862784563279
RandomForestModel,ae_mel+vib_mel+pp,3,0.00946499847787495
RandomForestModel,ae_mel+vib_mel+pp,4,0.011395403576827667
RandomForestModel,ae_mel+vib_mel+pp,5,0.004628070755230746
RandomForestModel,ae_mel+vib_mel+pp,6,0.011437099491010058
RandomForestModel,ae_mel+vib_mel+pp,7,0.20667684578366793
RandomForestModel,ae_mel+vib_mel+pp,8,0.010307618500500229
RandomForestModel,ae_mel+vib_mel+pp,9,0.010854714886629636
RandomForestModel,ae_mel+vib_mel+pp,10,0.008658327254995499
RandomForestModel,ae_mel+vib_mel+pp,11,0.005481718580235296
RandomForestModel,ae_mel+vib_mel+pp,12,0.010682246019679334
RandomForestModel,ae_mel+vib_mel+pp,13,0.006373921525014601
RandomForestModel,ae_mel+vib_mel+pp,14,0.005363342340300196
RandomForestModel,ae_mel+vib_mel+pp,15,0.00996171821819017
RandomForestModel,ae_mel+vib_mel+pp,16,0.007370405816611777
RandomForestModel,ae_spec+vib_spec+pp,1,0.005400276167403804
RandomForestModel,ae_spec+vib_spec+pp,2,0.009811369968860128
RandomForestModel,ae_spec+vib_spec+pp,3,0.008423504940716526
RandomForestModel,ae_spec+vib_spec+pp,4,0.010418671166312416
RandomForestModel,ae_spec+vib_spec+pp,5,0.003318567131891788
RandomForestModel,ae_spec+vib_spec+pp,6,0.006102722626068124
RandomForestModel,ae_spec+vib_spec+pp,7,0.1785338026143259
RandomForestModel,ae_spec+vib_spec+pp,8,0.02972606039553836
RandomForestModel,ae_spec+vib_spec+pp,9,0.02017740091729997
RandomForestModel,ae_spec+vib_spec+pp,10,0.008050610180438558
RandomForestModel,ae_spec+vib_spec+pp,11,0.00940870548687828
RandomForestModel,ae_spec+vib_spec+pp,12,0.011388866969669249
RandomForestModel,ae_spec+vib_spec+pp,13,0.006095815593133345
RandomForestModel,ae_spec+vib_spec+pp,14,0.009388222313987662
RandomForestModel,ae_spec+vib_spec+pp,15,0.011560777020549824
RandomForestModel,ae_spec+vib_spec+pp,16,0.008005044537438095
