model,config,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,folds
RandomForestModel,ae_wst,0.03677406962053996,0.06743216929295325,0.006276162731729874,0.018054735554342154,-52.748442459049706,112.04721478080705,16
RidgeRegressionModel,ae_wst,0.03985946252942085,0.04704083791540701,0.004235587678522279,0.010427156003646552,-51.05845591425896,69.78790711885459,16
LightGBMModel,ae_wst,0.041172147637474565,0.06860848259886791,0.006880148519421851,0.01852870289454745,-66.672425911371,127.25744640858326,16
ShallowMLPModel,ae_wst,0.05385486176237464,0.06602552206772118,0.00783952766960283,0.017304818637268973,-99.05761349201202,164.83350700238447,16
LightGBMModel,ae_wst+vib_wst,0.030200179214261585,0.06345663189448561,0.005033661351934792,0.01706715817006406,-31.83796685205383,98.34371607292039,16
RidgeRegressionModel,ae_wst+vib_wst,0.032901131780818105,0.03888461609472592,0.002937070230473182,0.007491081425941282,-41.650424152612686,83.35285570501735,16
RandomForestModel,ae_wst+vib_wst,0.03340129027545703,0.054179116455524395,0.004404389945811393,0.011964927063767863,-61.261926002461784,142.80178573578718,16
LightGBMModel,ae_wst+vib_wst+pp,0.03035375443488924,0.06318709518867194,0.005028673542119658,0.017161826840202073,-32.34972256604501,98.73219558441154,16
RandomForestModel,ae_wst+vib_wst+pp,0.03376108734601335,0.05571257326167357,0.004554157783241691,0.012834450688081958,-57.69389463994525,126.27583431461062,16
RidgeRegressionModel,ae_wst+vib_wst+pp,0.03433995839441195,0.039640795517108675,0.003061297430576815,0.007707424788612793,-40.995541736483574,75.58060524588562,16
LightGBMModel,vib_wst,0.0225490321542909,0.03575164764373099,0.0019293895551836869,0.004956372551922813,-13.990748365171346,31.465197077365357,16
RandomForestModel,vib_wst,0.02479367108293826,0.033590146322942584,0.001972672711778987,0.004784364052695441,-25.394023533685985,47.94943797896242,16
RidgeRegressionModel,vib_wst,0.031024374766275287,0.0356086804286296,0.002462184907926712,0.006640874348477253,-25.283861368894577,38.630803095390576,16
ShallowMLPModel,vib_wst,0.03748798277229071,0.04355543176478052,0.0038003592662789742,0.009187488228157046,-48.82830134034157,75.92712739629178,16
