y_true,y_mean,y_std,pi_lower_95,pi_upper_95,in_interval
0.1128,0.09373984,0.021292266,0.052006997,0.13547269,True
0.1056,0.0835617,0.017819569,0.04863535,0.11848806,True
0.1102,0.08091379,0.0166617,0.048256855,0.11357072,True
0.1094,0.0943784,0.020026112,0.05512722,0.13362958,True
0.101,0.08619955,0.022113886,0.042856336,0.12954277,True
0.1084,0.091004536,0.017403208,0.056894246,0.12511483,True
0.1056,0.081361495,0.017719932,0.046630427,0.11609256,True
0.1032,0.07849393,0.017823007,0.043560836,0.11342703,True
0.1074,0.097571574,0.016150726,0.06591615,0.129227,True
0.1098,0.08442275,0.013306551,0.058341913,0.11050359,True
0.1026,0.08838438,0.021347912,0.046542473,0.13022628,True
0.1056,0.10751223,0.021891367,0.06460515,0.15041931,True
0.0974,0.0790216,0.017050186,0.045603238,0.11243997,True
0.0962,0.090455405,0.017669551,0.055823084,0.12508772,True
0.092,0.097225554,0.018372616,0.061215226,0.13323589,True
0.095,0.09219156,0.022855153,0.04739546,0.13698766,True
0.0946,0.08615075,0.016218903,0.0543617,0.1179398,True
0.101,0.09089158,0.016935894,0.057697225,0.12408593,True
0.095,0.08605885,0.01635952,0.05399419,0.1181235,True
0.0994,0.095139734,0.019295553,0.05732045,0.13295902,True
0.092,0.080401115,0.016352106,0.048350986,0.11245124,True
0.0902,0.08623766,0.021158112,0.04476776,0.12770757,True
0.0898,0.09683487,0.018142896,0.061274793,0.13239494,True
0.0892,0.08696035,0.02012902,0.047507472,0.12641323,True
0.094,0.085788876,0.01732561,0.05183068,0.11974707,True
0.09,0.08502099,0.017351398,0.051012248,0.11902973,True
0.0884,0.09735615,0.017728293,0.06260869,0.1321036,True
0.087,0.08410594,0.020681497,0.043570206,0.12464167,True
0.0902,0.081883475,0.020314487,0.04206708,0.12169987,True
0.0828,0.094780415,0.018078446,0.05934666,0.13021417,True
0.0856,0.09523011,0.018465083,0.059038546,0.13142167,True
0.0866,0.080538005,0.019140225,0.04302316,0.11805285,True
0.0804,0.108091526,0.020680483,0.06755778,0.14862527,True
0.0832,0.08802251,0.01554417,0.057555936,0.11848908,True
0.0872,0.102126844,0.022241453,0.058533598,0.1457201,True
0.084,0.082032315,0.020544413,0.041765265,0.122299366,True
0.0892,0.08109028,0.016169474,0.04939811,0.11278245,True
0.094,0.08346124,0.019558799,0.045125995,0.12179649,True
0.0922,0.09044575,0.01665829,0.057795502,0.123096,True
0.105,0.0865477,0.019364482,0.048593316,0.12450209,True
0.0878,0.09320408,0.018031783,0.057861786,0.12854637,True
0.0936,0.08803881,0.017737884,0.053272557,0.12280506,True
0.0954,0.08658982,0.018432774,0.050461583,0.12271806,True
0.1012,0.08540873,0.017887773,0.050348695,0.120468765,True
0.0954,0.091910034,0.018309036,0.056024324,0.12779574,True
0.0992,0.08506029,0.019000703,0.04781891,0.12230167,True
0.0964,0.09965283,0.021881469,0.056765147,0.14254051,True
0.0908,0.09592871,0.018719332,0.05923882,0.1326186,True
0.098,0.083854295,0.015962474,0.052567847,0.11514074,True
0.0838,0.09228318,0.015630055,0.061648272,0.12291809,True
0.0846,0.07273259,0.022648694,0.028341148,0.117124036,True
0.0872,0.086452685,0.017339023,0.0524682,0.120437175,True
0.0862,0.08107481,0.023559894,0.034897417,0.1272522,True
0.0886,0.0887321,0.014824257,0.059676558,0.117787644,True
0.0834,0.094485834,0.014566138,0.0659362,0.12303547,True
0.079,0.0827341,0.016848546,0.04971095,0.11575725,True
0.0858,0.097409084,0.020131547,0.057951253,0.13686691,True
0.0862,0.08578851,0.018382357,0.04975909,0.12181793,True
0.0782,0.09217671,0.019122003,0.054697588,0.12965584,True
