condition_id,y_true,y_pred_deterministic,y_pred,y_std,lower,upper,covered,abs_error,interval_width,checkpoint,checkpoint_sha256,fold
1,0.1128,0.13971882,0.14268482,0.014738721,0.11379692,0.17157272,False,0.029884815,0.057775795,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1056,0.14058658,0.14045812,0.014273308,0.112482436,0.1684338,False,0.034858122,0.055951364,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1102,0.14452313,0.1501854,0.013619185,0.1234918,0.176879,False,0.039985403,0.053387202,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1094,0.13346858,0.13812819,0.013401491,0.11186127,0.16439511,False,0.028728195,0.052533835,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.101,0.14074722,0.14380912,0.014064182,0.11624333,0.17137492,False,0.04280912,0.055131584,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1084,0.15009685,0.15895753,0.014992082,0.12957305,0.188342,False,0.050557524,0.058768958,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1056,0.1277171,0.13320567,0.010528597,0.112569615,0.15384172,False,0.027605668,0.041272104,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1032,0.14386761,0.14907557,0.016141083,0.11743905,0.18071209,False,0.045875564,0.06327304,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1074,0.14429641,0.14862397,0.014209181,0.12077398,0.17647398,False,0.041223973,0.055699997,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1098,0.13537754,0.13979174,0.013616549,0.11310331,0.16648018,False,0.029991738,0.053376876,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1026,0.15118867,0.14880936,0.01708391,0.1153249,0.18229382,False,0.046209358,0.06696892,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
1,0.1056,0.149798,0.1539443,0.01931214,0.1160925,0.1917961,False,0.0483443,0.07570359,checkpoints/ResNetVibCNN_vib_spec_fold0_repeat0.pt,8156196b24ebadef2786fb5daba4fd0a2e40b71568391aa414c63240e3579ba8,0
