condition_id,n,coverage,mean_width,mae
1,19,0.0,0.057291757,0.04340556
2,20,0.8,0.024033105,0.007398357
3,20,0.95,0.036442757,0.008509521
4,20,0.15,0.19246277,0.13303587
5,20,0.8,0.02895751,0.008074174
6,20,0.85,0.032046925,0.007679145
7,20,0.0,0.04197067,0.24721754
8,20,0.1,0.05476583,0.087673314
9,20,0.2,0.091866866,0.08233881
10,20,0.2,0.023930628,0.016084297
11,20,0.7,0.03387732,0.01340553
12,20,0.55,0.015566374,0.00842786
13,20,0.7,0.022368174,0.009550364
14,20,0.85,0.019583166,0.004848936
15,20,0.4,0.06440135,0.037912857
16,20,0.75,0.026747823,0.0077420673
