freq_bin,mean_importance
0,0.007808037
1,0.007808037
2,0.008945629
3,0.011120438
4,0.0132952435
5,0.015470052
6,0.032058336
7,0.059554115
8,0.08704987
9,0.114545636
10,0.12357597
11,0.12106539
12,0.118554816
13,0.116044216
14,0.10721617
15,0.09515589
16,0.08309564
17,0.07103538
18,0.058627866
19,0.04607692
20,0.033525977
21,0.020975027
22,0.01915633
23,0.020842075
24,0.022527823
25,0.024213566
26,0.029399851
27,0.03546128
28,0.041522715
29,0.047584135
30,0.08669968
31,0.13182513
32,0.1769506
33,0.222076
34,0.31023967
35,0.40359765
36,0.49695572
37,0.59031373
38,0.63535273
39,0.6772231
40,0.7190933
41,0.7609637
42,0.71979535
43,0.6773291
44,0.634863
45,0.59130293
46,0.5132784
47,0.43525398
48,0.35722926
49,0.2845882
50,0.27655
51,0.2685118
52,0.26047373
53,0.2567206
54,0.2834987
55,0.3102768
56,0.33705488
57,0.35846248
58,0.3535052
59,0.34854782
60,0.34359056
61,0.33087057
62,0.2898722
63,0.24887387
64,0.20787543
65,0.16851005
66,0.1337555
67,0.099001005
68,0.064246476
69,0.039464958
70,0.03712317
71,0.03478138
72,0.032439586
73,0.031068416
74,0.031469733
75,0.03187104
76,0.03227235
77,0.030645547
78,0.025976501
79,0.02130746
80,0.016638411
81,0.013956
82,0.013739825
83,0.013523647
84,0.013307473
85,0.012516105
86,0.011131549
87,0.0097469995
88,0.008362446
89,0.007939515
90,0.008340858
91,0.008742199
92,0.0091435425
93,0.01128638
94,0.014666641
95,0.018046904
96,0.021427196
97,0.025180211
98,0.029151427
99,0.033122655
100,0.03709386
101,0.040827475
102,0.0444477
103,0.04806792
104,0.05168813
105,0.062440597
106,0.07592461
107,0.08940864
108,0.10289265
109,0.13440333
110,0.1713221
111,0.20824096
112,0.24515973
113,0.30033275
114,0.35963905
115,0.41894516
116,0.47825152
117,0.5064332
118,0.5296124
119,0.55279154
120,0.57597095
121,0.54663134
122,0.5119504
123,0.47726932
124,0.4425884
125,0.38608053
126,0.32851648
127,0.27095288
128,0.21338786
129,0.17553201
130,0.13767616
131,0.09982031
132,0.06327791
133,0.05387968
134,0.04448147
135,0.035083257
136,0.026622575
137,0.027381156
138,0.028139733
139,0.028898312
140,0.02983155
141,0.031851612
142,0.033871677
143,0.035891738
144,0.037681922
145,0.03845681
146,0.039231695
147,0.040006574
148,0.041253567
149,0.04407431
150,0.04689507
151,0.0497158
152,0.05552303
153,0.069128476
154,0.082733944
155,0.09633939
156,0.11521407
157,0.1451295
158,0.17504486
159,0.20496027
160,0.23033684
161,0.24795951
162,0.26558217
163,0.28320482
164,0.28558427
165,0.2665097
166,0.2474352
167,0.22836067
168,0.21249366
169,0.20036891
170,0.18824418
171,0.17611954
172,0.17511974
173,0.18490817
174,0.1946966
175,0.204485
176,0.20473708
177,0.19730695
178,0.1898767
179,0.18244646
180,0.17037544
181,0.1552104
182,0.14004534
183,0.12488033
184,0.10979409
185,0.094750986
186,0.079707935
187,0.064664885
188,0.05371024
189,0.04457279
190,0.035435326
191,0.026297865
192,0.025910258
193,0.028621743
194,0.031333223
195,0.034044705
196,0.054044306
197,0.07879
198,0.10353567
199,0.12828138
200,0.1436663
201,0.15714417
202,0.1706221
203,0.18409999
204,0.19959322
205,0.21536928
206,0.2311454
207,0.24692146
208,0.2475858
209,0.2469906
210,0.24639544
211,0.2458002
212,0.3022425
213,0.36049637
214,0.41875017
215,0.47646302
216,0.49951124
217,0.5225593
218,0.54560757
219,0.56623393
220,0.5499187
221,0.53360325
222,0.5172879
223,0.4993795
224,0.4682686
225,0.43715778
226,0.40604672
227,0.379235
228,0.3760721
229,0.37290934
230,0.36974654
231,0.36833674
232,0.37393996
233,0.37954324
234,0.3851465
235,0.3901461
236,0.39329675
237,0.39644754
238,0.39959827
239,0.4037293
240,0.4102338
241,0.4167384
242,0.42324302
243,0.43364036
244,0.45164698
245,0.46965358
246,0.4876601
247,0.50352055
248,0.51594716
249,0.52837366
250,0.5408002
251,0.52716506
252,0.47908872
253,0.43101165
254,0.38293588
255,0.35778713
256,0.35778713
