modality,freq_bin,importance,hz,mass_fraction
ae_spec,182,0.0001339073517567,1217391.3043478262,0.4759504355252068
ae_spec,127,1.145580003418566e-05,849498.3277591973,0.04071765249653319
ae_spec,177,1.0239605741528507e-05,1183946.4882943144,0.036394901014410175
ae_spec,3,7.219297245946117e-06,20066.889632107024,0.025659738791914837
ae_spec,14,6.883926944451011e-06,93645.48494983278,0.02446772327547902
ae_spec,7,6.47382336317489e-06,46822.74247491639,0.023010081289746517
ae_spec,13,4.007165284402223e-06,86956.52173913043,0.014242773360181106
ae_spec,17,3.999256534409646e-06,113712.3745819398,0.014214663081290175
ae_spec,129,3.97731743831186e-06,862876.254180602,0.014136684372834024
ae_spec,23,3.858783789915021e-06,153846.15384615384,0.013715377097029097
ae_spec,10,3.47093055327779e-06,66889.63210702341,0.012336820098659404
ae_spec,15,3.40701401388829e-06,100334.44816053512,0.012109639855300029
ae_spec,123,2.7959160643472022e-06,822742.4749163879,0.009937598280158588
ae_spec,12,2.556405683140412e-06,80267.5585284281,0.009086300209121377
ae_spec,18,2.5497681693144175e-06,120401.33779264214,0.009062708318498175
ae_spec,69,2.532503633635657e-06,461538.46153846156,0.009001344523548541
ae_spec,50,2.4240395613695866e-06,334448.16053511703,0.008615827808023693
ae_spec,6,2.4175307472490954e-06,40133.77926421405,0.008592693358161454
ae_spec,0,2.343800160044777e-06,0.0,0.008330630785561375
ae_spec,52,2.3157779210607185e-06,347826.0869565217,0.008231030601748563
