modality,freq_bin,importance,hz,mass_fraction
vib_spec,209,0.0039691364307981,20900.0,0.6947672169650898
vib_spec,40,0.0001255658814472,4000.0,0.021979354834446397
vib_spec,1,6.749214756834986e-05,100.0,0.01181398834497378
vib_spec,31,6.576715980681677e-05,3100.0,0.011512042325411484
vib_spec,0,6.436265192289097e-05,0.0,0.011266193876829826
vib_spec,22,6.258607089202065e-05,2200.0,0.010955216846926484
vib_spec,38,5.267109729771992e-05,3800.0,0.009219675947666053
vib_spec,135,5.1941532438668685e-05,13500.0,0.009091971154556526
vib_spec,230,5.078109294085246e-05,23000.0,0.008888845025129924
vib_spec,13,4.5299118327514014e-05,1300.0,0.007929266962751104
vib_spec,15,4.0946713843659846e-05,1500.0,0.007167411581089228
vib_spec,20,3.368709044074282e-05,2000.0,0.005896669585746649
vib_spec,8,3.3041138759833706e-05,800.0,0.005783600645068058
vib_spec,27,3.252317828038287e-05,2700.0,0.005692935593090089
vib_spec,182,3.0554821370550106e-05,18200.0,0.0053483896506459966
vib_spec,213,2.872289068769673e-05,21300.0,0.005027724084120466
vib_spec,12,2.7606028766454892e-05,1200.0,0.004832225878834675
vib_spec,7,2.6363614900324484e-05,700.0,0.004614750758203286
vib_spec,4,2.5956512784234335e-05,400.0,0.004543490621609875
vib_spec,2,2.5198627124522178e-05,200.0,0.004410828487224616
