test_condition,validation_condition,n_test,fold_mae,dominant_ae_bin,dominant_ae_khz,dominant_vib_bin,dominant_vib_khz
1,8,19,0.0054203251807792745,132,882.943143812709,157,15.7
2,5,20,0.003074716657519715,50,334.44816053511704,213,21.3
3,14,20,0.009652393304394758,132,882.943143812709,162,16.2
4,16,20,0.00816960755360819,51,341.1371237458194,162,16.2
5,12,20,0.0033233874611621186,50,334.44816053511704,162,16.2
6,9,20,0.005939456088574808,50,334.44816053511704,162,16.2
7,14,20,0.14781706581402898,125,836.1204013377926,162,16.2
8,5,20,0.06981357902025631,148,989.9665551839465,157,15.7
9,7,20,0.008927700101770164,51,341.1371237458194,215,21.5
10,11,20,0.011190870714761483,51,341.1371237458194,191,19.1
11,3,20,0.008219613716475496,132,882.943143812709,162,16.2
12,7,20,0.009642958580685304,51,341.1371237458194,162,16.2
13,11,20,0.012346065255723163,50,334.44816053511704,162,16.2
14,11,20,0.016817687995131742,51,341.1371237458194,159,15.9
15,8,20,0.009781050070015325,162,1083.6120401337791,189,18.9
16,5,20,0.00523360908445766,50,334.44816053511704,162,16.2
