frequency_khz,mean_abs_shap
0.0,3.3670010198079834e-07
0.1,1.448348831425354e-07
0.2,5.63684021032762e-07
0.3,1.8742152571520394e-07
0.4,1.4140068990535573e-06
0.5,1.5996718757969993e-07
0.6,1.2626239839665037e-07
0.7,1.5073749898588908e-07
0.8,3.028607104427397e-07
0.9,1.7596496284323633e-07
1.0,6.138428545755305e-08
1.1,2.3891318266866757e-07
1.2,2.332536297193205e-07
1.3,4.072033994887184e-07
1.4,1.34356167898541e-07
1.5,1.7961381772316087e-07
1.6,1.2627676762571e-07
1.7,2.506395712249649e-07
1.8,2.655875133919482e-07
1.9,4.0309383582888355e-07
2.0,8.656803695722634e-07
2.1,1.543958534028302e-06
2.2,3.7602088382948823e-06
2.3,1.2287197407489353e-06
2.4,1.294557689903608e-06
2.5,1.5969697756040665e-06
2.6,3.6544771886857407e-07
2.7,4.0300729450186145e-07
2.8,5.67141408219933e-07
2.9,1.2708242063833539e-06
3.0,7.620042363117453e-07
3.1,2.441703928119047e-06
3.2,1.5436006184968143e-06
3.3,5.063282131755669e-07
3.4,1.3332095223678567e-06
3.5,4.875732715481513e-07
3.6,3.1220643140269777e-07
3.7,3.1877077463116167e-07
3.8,3.56568617269498e-07
3.9,5.926873668281267e-07
4.0,2.5928365237315553e-06
4.1,2.1736255576774994e-06
4.2,4.381884747470632e-07
4.3,1.11638104951168e-05
4.4,5.76039737637169e-07
4.5,6.749159078222733e-07
4.6,4.466909238035356e-07
4.7,3.401550142716652e-07
4.8,3.1845852177219916e-07
4.9,3.110374977342607e-07
5.0,5.211307774612981e-06
5.1,1.2354995837550858e-05
5.2,7.634904587477268e-07
5.3,4.614244828310271e-07
5.4,4.2482160199872294e-07
5.5,8.809730839159642e-07
5.6,6.539716493122696e-07
5.7,6.831715587213328e-07
5.8,1.1643076399788398e-06
5.9,6.143742981267172e-07
6.0,7.485675263225522e-07
6.1,7.109921340580852e-07
6.2,6.737914810249051e-07
6.3,4.4796095029922095e-06
6.4,3.271287049817892e-06
6.5,3.0235537531229807e-06
6.6,3.651034015038282e-06
6.7,4.3935057018550427e-07
6.8,2.4996619656284553e-07
6.9,3.645186229042807e-07
7.0,6.758643111869433e-07
7.1,5.682692565782996e-07
7.2,1.102888503304078e-06
7.3,2.0995029835552368e-06
7.4,9.130709927515168e-07
7.5,4.806579557887631e-07
7.6,3.787018933592929e-07
7.7,4.006579622082199e-07
7.8,7.642248969537672e-07
7.9,7.640418114965812e-07
8.0,3.8144571396975667e-07
8.1,2.3588993102559574e-07
8.2,2.3622301257267657e-07
8.3,2.820089972041045e-07
8.4,2.887830420318752e-07
8.5,3.8184096399317894e-07
8.6,2.6983817371931587e-07
8.7,6.218144206168126e-07
8.8,4.275691384337125e-07
8.9,2.5014344768241527e-07
9.0,4.100722815883682e-07
9.1,1.863549863039999e-07
9.2,3.200246518828166e-07
9.3,1.3143457946309331e-07
9.4,1.643415019682568e-07
9.5,1.1781174054432901e-07
9.6,9.780533078347807e-08
9.7,1.8762010018293696e-07
9.8,1.6751044129560903e-07
9.9,3.3640702076664525e-07
10.0,3.6654519084769764e-07
10.1,3.433922537099891e-07
10.2,1.2119146946896537e-06
10.3,7.086656961707572e-07
10.4,4.078894222084531e-07
10.5,5.050185844883295e-07
10.6,5.990067151336479e-07
10.7,8.887507154759556e-07
10.8,2.743497258977995e-07
10.9,2.0969454331510527e-07
11.0,3.421232334877655e-07
11.1,5.707249937803543e-07
11.2,3.75504158442993e-06
11.3,3.1478976175631584e-06
11.4,2.3827229207028177e-06
11.5,4.543208616227175e-07
11.6,5.535222754129914e-07
11.7,3.165561792612949e-07
11.8,5.50221127271116e-07
11.9,9.441118785234953e-07
12.0,5.737141557492945e-07
12.1,8.578628972803308e-07
12.2,3.371549501103779e-07
12.3,3.7063928974643487e-07
12.4,3.701692436258619e-07
12.5,6.071224201989413e-07
12.6,4.384659218853349e-07
12.7,3.3570578747316557e-07
12.8,5.524136561208212e-07
12.9,3.8073997154191125e-07
13.0,6.603847640963369e-07
13.1,3.1689027249144953e-07
13.2,3.1244478018657927e-07
13.3,2.970593869800683e-07
13.4,3.4152695908510023e-07
13.5,3.3628042984667514e-07
13.6,4.4679953399536346e-07
13.7,2.5678141521191287e-07
13.8,3.1051593170698453e-07
13.9,3.622950875177013e-07
14.0,3.5451509910509295e-07
14.1,3.31393345086317e-07
14.2,3.484966562347748e-07
14.3,5.844322326097234e-07
14.4,5.683735773640254e-07
14.5,1.001335077683585e-06
14.6,1.817146325461066e-06
14.7,1.153109388604983e-06
14.8,8.029684623717796e-07
14.9,3.2028889650263757e-06
15.0,2.1804078310493173e-06
15.1,2.7493670348075684e-06
15.2,2.8381969959745423e-06
15.3,5.116076156987278e-06
15.4,5.427067914527753e-06
15.5,9.724828600154416e-06
15.6,2.069365919452788e-05
15.7,3.6216141924195724e-05
15.8,1.762853159044333e-05
15.9,1.8786745835952886e-05
16.0,2.297162743432076e-06
16.1,2.4499609505832165e-05
16.2,4.008217351366106e-05
16.3,1.1851957754775105e-05
16.4,1.742106127330865e-05
16.5,1.3732504559318361e-05
16.6,1.6924457756024223e-05
16.7,1.6955281821122265e-05
16.8,1.4167138360864681e-05
16.9,5.360028825605991e-07
17.0,1.0800855915961877e-05
17.1,1.3709435317984297e-05
17.2,9.565575420305555e-06
17.3,7.345177665658233e-06
17.4,2.892602139243245e-07
17.5,3.441946758275549e-07
17.6,2.2644099240843694e-07
17.7,2.3761871825511263e-07
17.8,3.313352057602909e-06
17.9,1.3669741463161098e-05
18.0,1.2711572376765892e-05
18.1,1.5300354920729463e-05
18.2,2.27455693464463e-05
18.3,1.4541436262077103e-05
