freq_khz,importance
0.0,3.4383257918006657e-07
0.1,8.75253330219196e-07
0.2,3.144653578800347e-07
0.3,1.6400237104677865e-07
0.4,1.6113420748795271e-06
0.5,1.0322431523937177e-07
0.6,1.3953903688595426e-07
0.7,3.187717518373208e-08
0.8,2.098791569624702e-07
0.9,1.6268175073266708e-07
1.0,7.411785797337098e-08
1.1,2.565708317962633e-07
1.2,1.9471177582910018e-07
1.3,1.5669017093355164e-07
1.4,9.459368169931534e-08
1.5,9.839163906171628e-08
1.6,2.8537289751129243e-07
1.7,2.8064577499338217e-07
1.8,7.662598478821332e-07
1.9,5.053274967845512e-07
2.0,6.336081801186249e-07
2.1,1.6005675836653563e-06
2.2,2.9383992905282736e-06
2.3,1.260085228339545e-06
2.4,2.009505031014577e-06
2.5,1.7517235201204723e-06
2.6,3.526013272831429e-07
2.7,2.871610176495208e-07
2.8,5.157643927041852e-07
2.9,7.665695438669315e-07
3.0,8.964434269862479e-07
3.1,8.736178793205258e-07
3.2,1.7994191760222827e-06
3.3,3.8099614125312925e-07
3.4,1.168675223690248e-06
3.5,3.284191463084241e-07
3.6,1.8383820336971906e-07
3.7,6.426671889505609e-07
3.8,2.7605581580567816e-07
3.9,4.425811517792282e-07
4.0,4.031840501229287e-07
4.1,3.020232666979106e-07
4.2,4.940504123581143e-07
4.3,4.913599931452388e-07
4.4,7.26404858132357e-07
4.5,5.156290680160406e-07
4.6,4.7401735985749397e-07
4.7,2.3124366033618546e-07
4.8,2.2406806175142434e-07
4.9,9.168004575511301e-07
5.0,4.862463368622653e-06
5.1,1.179098957927538e-05
5.2,8.840382659520965e-07
5.3,2.894803695682469e-07
5.4,4.758585175026251e-07
5.5,1.4150235350858304e-06
5.6,1.9770287523797884e-06
5.7,1.2606145178707722e-06
5.8,9.088054916139726e-07
5.9,7.92560521401757e-07
6.0,8.617262468502806e-07
6.1,1.0171941924168955e-06
6.2,2.7221169630750884e-07
6.3,9.769035003138874e-07
6.4,1.1974002152548938e-06
6.5,9.489866934594439e-07
6.6,2.4996326674569757e-06
6.7,1.2482964861364655e-07
6.8,3.762163958638558e-07
6.9,3.87754182271418e-07
7.0,1.3666501594744033e-07
7.1,9.113828431803559e-07
7.2,1.8328856494741358e-07
7.3,4.990269242841063e-07
7.4,2.7846310699108584e-07
7.5,6.266744973442881e-07
7.6,7.501388417171803e-07
7.7,1.4152887359082755e-06
7.8,1.784422127568526e-06
7.9,1.6637589752943713e-06
8.0,1.6233490207639239e-07
8.1,5.674952624058856e-07
8.2,1.1240703425658712e-07
8.3,3.066380952926591e-07
8.4,2.199996861554491e-07
8.5,1.9312773433618465e-07
8.6,4.6744197268785917e-07
8.7,1.3713382576488786e-06
8.8,1.3453269449879667e-07
8.9,1.2995425502161704e-06
9.0,1.3334527462046666e-07
9.1,3.3729809184485204e-07
9.2,4.715658214402845e-07
9.3,1.859730353064065e-07
9.4,1.309874096509836e-07
9.5,2.86702355973087e-07
9.6,1.1910764970944072e-07
9.7,1.673290572837734e-07
9.8,1.4523299222668085e-07
9.9,2.3482600920811607e-07
10.0,1.245519841190751e-07
10.1,6.78564121050253e-07
10.2,2.119522213945743e-06
10.3,5.504757763069568e-07
10.4,2.8560037590799195e-07
10.5,1.5735053632396452e-06
10.6,2.0615614235533977e-07
10.7,2.0741082229413745e-07
10.8,3.035354460209107e-07
10.9,4.4043162378003216e-07
11.0,1.420024872448566e-07
11.1,7.87230177057168e-07
11.2,2.7432885885140814e-06
11.3,4.668789043735636e-06
11.4,4.630790657753306e-07
11.5,2.0254300669315264e-07
11.6,3.3066442595924574e-07
11.7,3.582387898610426e-07
11.8,1.0326866592007956e-06
11.9,1.6096455201903268e-06
12.0,4.061032782998552e-07
12.1,2.717253495601013e-07
12.2,3.942857858980941e-07
12.3,2.003382729852842e-07
12.4,4.977923935877743e-07
12.5,5.606011169437185e-07
12.6,4.0857351853264276e-07
12.7,1.36129666804606e-07
12.8,3.699596711651147e-07
12.9,4.3316892759660727e-07
13.0,1.7704068634913322e-07
13.1,5.327888031667947e-07
13.2,2.030467814390522e-07
13.3,2.5230651829285464e-07
